ts_ms,peak_fractal_3,trough_fractal_3,peak_fractal_5,trough_fractal_5,peak_fractal_7,trough_fractal_7,peak_fractal_9,trough_fractal_9,peak_fractal_11,trough_fractal_11
1616040000000,,,,,,,,,,
1616054400000,1.48029995,,,,,,,,,
1616068800000,,,,,,,,,,
1616083200000,,,,,,,,,,
1616097600000,,,,,,,,,,
1616112000000,,1.18009996,,1.18009996,,1.18009996,,1.18009996,,1.18009996
1616126400000,,,,,,,,,,
1616140800000,,,,,,,,,,
1616155200000,,,,,,,,,,
1616169600000,1.3448,1.25380003,1.3448,,1.3448,,1.3448,,1.3448,
1616184000000,,,,,,,,,,
1616198400000,,,,,,,,,,
1616212800000,,1.2507,,1.2507,,,,,,
1616227200000,1.28040004,,,,,,,,,
1616241600000,,,,,,,,,,
1616256000000,,,,,,,,,,
1616270400000,,,,,,,,,,
1616284800000,,1.18729997,,,,,,,,
1616299200000,,,,,,,,,,
1616313600000,,,,,,,,,,
1616328000000,,1.16159999,,1.16159999,,1.16159999,,1.16159999,,1.16159999
1616342400000,,,,,,,,,,
1616356800000,,,,,,,,,,
1616371200000,,1.16499996,,1.16499996,,,,,,
1616385600000,1.20860004,,,,,,,,,
1616400000000,,,,,,,,,,
1616414400000,,,,,,,,,,
1616428800000,,,,,,,,,,
1616443200000,,1.05999994,,1.05999994,,1.05999994,,1.05999994,,1.05999994
1616457600000,,,,,,,,,,
1616472000000,,1.08210003,,,,,,,,
1616486400000,,,,,,,,,,
1616500800000,1.17400002,,1.17400002,,1.17400002,,1.17400002,,,
1616515200000,,,,,,,,,,
1616529600000,,,,,,,,,,
1616544000000,,1.09599996,,1.09599996,,1.09599996,,1.09599996,,
1616558400000,,,,,,,,,,
1616572800000,,,,,,,,,,
1616587200000,1.1652,,1.1652,,1.1652,,1.1652,,,
1616601600000,,,,,,,,,,
1616616000000,,1.03069997,,1.03069997,,1.03069997,,1.03069997,,1.03069997
1616630400000,,,,,,,,,,
1616644800000,1.1358,,1.1358,,,,,,,
1616659200000,,,,,,,,,,
1616673600000,,1.0697,,1.0697,,,,,,
1616688000000,1.15489995,,1.15489995,,1.15489995,,,,,
1616702400000,,,,,,,,,,
1616716800000,,,,,,,,,,
1616731200000,,,,,,,,,,
1616745600000,1.28830004,,1.28830004,,1.28830004,,1.28830004,,1.28830004,
1616760000000,,,,,,,,,,
1616774400000,,,,,,,,,,
1616788800000,,,,,,,,,,
1616803200000,1.24300003,1.17270005,,1.17270005,,,,,,
1616817600000,,,,,,,,,,
1616832000000,,,,,,,,,,
1616846400000,,1.15779996,,1.15779996,,1.15779996,,1.15779996,,1.15779996
1616860800000,,,,,,,,,,
1616875200000,1.20529997,,,,,,,,,
1616889600000,,1.16770005,,1.16770005,,,,,,
1616904000000,,,,,,,,,,
1616918400000,1.21930003,,1.21930003,,1.21930003,,1.21930003,,1.21930003,
1616932800000,,,,,,,,,,
1616947200000,,1.17299998,,1.17299998,,1.17299998,,,,
1616961600000,,,,,,,,,,
1616976000000,,,,,,,,,,
1616990400000,,1.18200004,,,,,,,,
1617004800000,1.23000002,,1.23000002,,1.23000002,,1.23000002,,1.23000002,
1617019200000,,1.19420004,,,,,,,,
1617033600000,,,,,,,,,,
1617048000000,,,,,,,,,,
1617062400000,,1.19009995,,1.19009995,,1.19009995,,1.19009995,,
1617076800000,,,,,,,,,,
1617091200000,1.23839998,,1.23839998,,1.23839998,,1.23839998,,1.23839998,
1617105600000,,,,,,,,,,
1617120000000,,,,,,,,,,
1617134400000,,,,,,,,,,
1617148800000,,1.17630005,,,,,,,,
1617163200000,,,,,,,,,,
1617177600000,,1.14090002,,1.14090002,,1.14090002,,1.14090002,,1.14090002
1617192000000,1.19679999,,,,,,,,,
1617206400000,,1.17390001,,,,,,,,
1617220800000,,,,,,,,,,
1617235200000,1.20529997,,,,,,,,,
