ts_ms,horizontal_range,hr_start,hr_end,hor_upper,hor_lower,uptrend,uptrend_start,uptrend_end,downtrend,downtrend_start,downtrend_end,hr_uptrend,hr_downtrend,hr_start_marker,hr_end_marker,uptrend_start_marker,uptrend_end_marker,downtrend_start_marker,downtrend_end_marker,hr_breakout_attempt,hr_pending_breakout,hr_breakout_confirmed,hr_false_breakout,hr_reclaim,hr_break_direction,hr_break_extreme,hr_reclaim_marker
1616040000000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616054400000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616068800000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616083200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616097600000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616112000000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616126400000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616140800000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616155200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616169600000,false,false,false,,,false,false,false,true,true,false,false,false,,,,,1.3448,,false,false,false,false,false,,,
1616184000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616198400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616212800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616227200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616241600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616256000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616270400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616284800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616299200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616313600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616328000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616342400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616356800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616371200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616385600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616400000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616414400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616428800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616443200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616457600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616472000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616486400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616500800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616515200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616529600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616544000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616558400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616572800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616587200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616601600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616616000000,false,false,false,,,true,true,false,true,false,true,false,false,,,1.03069997,,,1.03069997,false,false,false,false,false,,,
1616630400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616644800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616659200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616673600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616688000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616702400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616716800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616731200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616745600000,false,false,false,,,true,false,true,true,true,false,false,false,,,,1.28830004,1.28830004,,false,false,false,false,false,,,
1616760000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616774400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616788800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616803200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616817600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616832000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616846400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616860800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1616875200000,true,true,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,1.20529997,,,,,,false,false,false,false,false,,,
1616889600000,true,false,false,1.26694846,1.11944675,true,true,false,true,false,true,true,true,,,1.16770005,,,1.16770005,false,false,false,false,false,,,
1616904000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1616918400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1616932800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1616947200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1616961600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1616976000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1616990400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617004800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617019200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617033600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617048000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
