ts_ms,open,high,low,close,volume
1616040000000,1.4037,1.4065,1.4032,1.4063,14439.0
1616054400000,1.4063,1.4803,1.4063,1.4349,1124864.0
1616068800000,1.4349,1.4773,1.4012,1.4517,4020649.0
1616083200000,1.4517,1.456,1.2411,1.264,8454233.0
1616097600000,1.264,1.2961,1.2223,1.2323,4115281.0
1616112000000,1.2323,1.2486,1.1801,1.2376,4748088.0
1616126400000,1.2376,1.265,1.221,1.2595,2438770.0
1616140800000,1.2595,1.2875,1.2412,1.2617,2948284.0
1616155200000,1.2617,1.3,1.2611,1.2824,3211040.0
1616169600000,1.2824,1.3448,1.2538,1.3391,4820122.0
1616184000000,1.3391,1.3392,1.2855,1.2987,5675538.0
1616198400000,1.2987,1.3112,1.2712,1.2738,2314674.0
1616212800000,1.2738,1.2738,1.2507,1.2616,2486250.0
1616227200000,1.2616,1.2804,1.2616,1.2689,1517925.0
1616241600000,1.2689,1.2717,1.2525,1.2566,2107902.0
1616256000000,1.2566,1.2579,1.2264,1.2506,2937836.0
1616270400000,1.2506,1.2528,1.1965,1.1991,2615485.0
1616284800000,1.1991,1.2416,1.1873,1.2259,2813806.0
1616299200000,1.2259,1.2259,1.198,1.2119,1131770.0
1616313600000,1.2119,1.2224,1.1794,1.1825,2106933.0
1616328000000,1.1825,1.2186,1.1616,1.203,3831381.0
1616342400000,1.203,1.2168,1.1922,1.2007,2230372.0
1616356800000,1.2007,1.2086,1.1844,1.1876,1461789.0
1616371200000,1.1876,1.2021,1.165,1.1941,2623798.0
1616385600000,1.1941,1.2086,1.1933,1.1974,1578657.0
1616400000000,1.1974,1.2027,1.1742,1.1922,2149110.0
1616414400000,1.1922,1.193,1.171,1.1811,2593736.0
1616428800000,1.1811,1.1858,1.1446,1.1525,3302916.0
1616443200000,1.1525,1.1561,1.06,1.1035,9579520.0
1616457600000,1.1035,1.1537,1.0943,1.1294,4545918.0
1616472000000,1.1294,1.1379,1.0821,1.1299,3734780.0
1616486400000,1.1299,1.148,1.1166,1.1286,2773979.0
1616500800000,1.1286,1.174,1.1286,1.1574,3137478.0
1616515200000,1.1574,1.1675,1.118,1.1284,3510220.0
1616529600000,1.1284,1.1381,1.1006,1.1159,4905807.0
1616544000000,1.1159,1.1237,1.096,1.1094,1603476.0
1616558400000,1.1094,1.1434,1.1045,1.1413,1367579.0
1616572800000,1.1413,1.16,1.1409,1.1512,2491307.0
1616587200000,1.1512,1.1652,1.13,1.1388,2115986.0
1616601600000,1.1388,1.1456,1.1052,1.1088,1904832.0
1616616000000,1.1088,1.1201,1.0307,1.0682,4508854.0
1616630400000,1.0682,1.0932,1.0493,1.0901,2545523.0
1616644800000,1.0901,1.1358,1.0816,1.0836,4796213.0
1616659200000,1.0836,1.129,1.0763,1.1059,2038253.0
1616673600000,1.1059,1.1225,1.0697,1.0999,4845470.0
1616688000000,1.0999,1.1549,1.0934,1.1095,4390465.0
1616702400000,1.1095,1.1327,1.094,1.0975,3907128.0
1616716800000,1.0975,1.13,1.0973,1.1246,2051513.0
1616731200000,1.1246,1.1421,1.1133,1.1403,1962306.0
1616745600000,1.1403,1.2883,1.1319,1.262,12544337.0
1616760000000,1.262,1.262,1.1963,1.2204,10271120.0
1616774400000,1.2204,1.2471,1.1978,1.2097,4930335.0
1616788800000,1.2097,1.2278,1.1963,1.2167,4584504.0
1616803200000,1.2167,1.243,1.1727,1.1818,6003136.0
1616817600000,1.1818,1.2142,1.1815,1.1926,2240308.0
1616832000000,1.1926,1.2044,1.1729,1.1783,1834346.0
1616846400000,1.1783,1.1898,1.1578,1.18,3119493.0
1616860800000,1.18,1.2022,1.1792,1.1864,3076554.0
1616875200000,1.1864,1.2053,1.1695,1.177,3087330.0
1616889600000,1.177,1.1951,1.1677,1.1938,1467932.0
1616904000000,1.1938,1.2084,1.1815,1.2058,1460757.0
1616918400000,1.2058,1.2193,1.1872,1.1907,3338286.0
1616932800000,1.1907,1.1959,1.1777,1.1902,1435143.0
1616947200000,1.1902,1.1948,1.173,1.1819,1570955.0
1616961600000,1.1819,1.1947,1.1734,1.191,1150361.0
1616976000000,1.191,1.193,1.1822,1.1868,1086356.0
1616990400000,1.1868,1.2094,1.182,1.2071,2532281.0
1617004800000,1.2071,1.23,1.2048,1.2087,3069404.0
1617019200000,1.2087,1.2181,1.1942,1.2028,3111624.0
1617033600000,1.2028,1.2154,1.1971,1.2084,1860532.0
1617048000000,1.2084,1.21,1.1926,1.2033,2447407.0
1617062400000,1.2033,1.2108,1.1901,1.1953,1795992.0
1617076800000,1.1953,1.2183,1.195,1.2117,1999863.0
1617091200000,1.2117,1.2384,1.2064,1.2322,3203401.0
1617105600000,1.2322,1.2356,1.211,1.2125,2907762.0
1617120000000,1.2125,1.2331,1.2125,1.2314,2494039.0
1617134400000,1.2314,1.2321,1.2059,1.2154,3334402.0
1617148800000,1.2154,1.2162,1.1763,1.1868,5117090.0
1617163200000,1.1868,1.2131,1.1806,1.1866,3495074.0
1617177600000,1.1866,1.1916,1.1409,1.1825,6328718.0
1617192000000,1.1825,1.1968,1.1769,1.1915,2108289.0
1617206400000,1.1915,1.1964,1.1739,1.1858,3046011.0
1617220800000,1.1858,1.2021,1.1856,1.1921,2289080.0
1617235200000,1.1921,1.2053,1.19,1.1904,2648344.0
1617249600000,1.1904,1.2007,1.1815,1.1931,1632389.0
1617264000000,1.1931,1.21,1.185,1.1929,3292723.0
1617278400000,1.1929,1.2,1.1892,1.1953,1558569.0
1617292800000,1.1953,1.2003,1.1736,1.1877,2396081.0
1617307200000,1.1877,1.1923,1.1835,1.1846,1519713.0
1617321600000,1.1846,1.2052,1.184,1.194,2585912.0
1617336000000,1.194,1.247,1.1933,1.2284,3729162.0
1617350400000,1.2284,1.2418,1.213,1.2139,3666834.0
1617364800000,1.2139,1.2209,1.2,1.2136,4213167.0
1617379200000,1.2136,1.223,1.1949,1.2003,3861478.0
1617393600000,1.2003,1.2003,1.185,1.1915,2889675.0
1617408000000,1.1915,1.2441,1.1882,1.2251,7328931.0
1617422400000,1.2251,1.2397,1.2153,1.2271,6083255.0
1617436800000,1.2271,1.2351,1.2056,1.2199,4945798.0
1617451200000,1.2199,1.235,1.2024,1.2037,5848788.0
1617465600000,1.2037,1.2172,1.1663,1.1964,5907240.0
1617480000000,1.1964,1.1965,1.1539,1.1612,5312679.0
1617494400000,1.1612,1.1861,1.1486,1.1836,3967728.0
1617508800000,1.1836,1.1849,1.1672,1.1713,2536201.0
1617523200000,1.1713,1.19,1.1713,1.1736,1648904.0
1617537600000,1.1736,1.1857,1.1707,1.1778,2035127.0
1617552000000,1.1778,1.194,1.1778,1.1824,1904948.0
1617566400000,1.1824,1.1868,1.1749,1.183,2027760.0
1617580800000,1.183,1.19,1.1701,1.1855,2313053.0
1617595200000,1.1855,1.1894,1.1635,1.1722,2399328.0
1617609600000,1.1722,1.1832,1.1682,1.1824,2066085.0
1617624000000,1.1824,1.2174,1.175,1.2084,5382923.0
1617638400000,1.2084,1.2187,1.1899,1.1974,4664846.0
1617652800000,1.1974,1.2294,1.1951,1.21,4941877.0
