ts_ms,research_source_1_ang_mtm_3
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,1.32145178
1542470400000,3.66666675
1542484800000,2.86905932
1542499200000,-0.267903656
1542513600000,-2.72623706
1542528000000,-1.04760742
1542542400000,0.958333313
1542556800000,1.75594079
1542571200000,0.708333313
1542585600000,-1.91666663
1542600000000,-4.53564453
1542614400000,-7.45833349
1542628800000,-9.45833302
1542643200000,-11.1131182
1542657600000,-9.91666698
1542672000000,-8.43448925
1542686400000,-10.5000811
1542700800000,-7.1429038
1542715200000,-2.57137036
1542729600000,-0.517740905
1542744000000,-3.19051099
1542758400000,-4.38704443
1542772800000,1.23803711
1542787200000,4.88696289
1542801600000,5.82747412
1542816000000,7.86905909
1542830400000,10.2797852
1542844800000,12.6190596
1542859200000,10.2142744
1542873600000,6.54166651
1542888000000,7.24397802
1542902400000,2.26782227
1542916800000,-2.99405932
1542931200000,-4.28564453
1542945600000,1.15486658
1542960000000,4.38688135
1542974400000,-0.803629577
1542988800000,-2.42862964
1543003200000,0.3631185
1543017600000,1.21427405
1543032000000,-0.5
1543046400000,-2.64282227
1543060800000,-2.75594068
1543075200000,-5.39884424
1543089600000,-10.4702959
1543104000000,-8.47021484
1543118400000,-0.13094075
1543132800000,5.91670752
1543147200000,3.90478516
1543161600000,1.94645178
1543176000000,4.1071372
1543190400000,4.92260742
1543204800000,1.54166663
1543219200000,-4.56551123
1543233600000,-5.99405909
1543248000000,-3.47025561
1543262400000,0.13094075
1543276800000,6.91666651
1543291200000,11.4226484
1543305600000,11.0119219
1543320000000,4.64880371
1543334400000,0.136922196
1543348800000,1.43452966
1543363200000,2.86307788
1543377600000,1.63688147
1543392000000,1.88098145
1543406400000,5.02978516
1543420800000,9.14282227
1543435200000,7.85115576
1543449600000,2.86905932
1543464000000,2.57743335
1543478400000,3.08927417
1543492800000,2.83927417
1543507200000,0.0297444668
1543521600000,-0.672607422
1543536000000,-1.29760742
1543550400000,-7.38098145
1543564800000,-12.7202559
1543579200000,-12.291667
1543593600000,-8.79760742
1543608000000,-6.51188135
1543622400000,-5.57739258
1543636800000,-0.166666672
1543651200000,6.22029638
1543665600000,5.67260742
1543680000000,0.738077819
1543694400000,-1.92858887
1543708800000,-0.839274108
1543723200000,-1.15474451
1543737600000,-1.05957031
1543752000000,3.5535481
1543766400000,7.49405909
1543780800000,4.40478516
1543795200000,-1.82141113
1543809600000,-3.99405932
1543824000000,-3.10119629
1543838400000,-5.08927393
1543852800000,-7.72021484
1543867200000,-7.55952978
1543881600000,-1.60713708
1543896000000,3.76786304
1543910400000,5.20829248
1543924800000,3.36307788
1543939200000,-0.202392578
1543953600000,-1.90474451
1543968000000,-3.48213696
1543982400000,-0.375
1543996800000,3.16072583
1544011200000,2.22025561
1544025600000,0.0238037109
1544040000000,-0.0773925781
1544054400000,3.45239258
1544068800000,4.03572607
1544083200000,-1.89880371
1544097600000,-6.54170752
1544112000000,-9.60713673
1544126400000,-8.85119629
1544140800000,-5.45239258
1544155200000,-1.56547034
1544169600000,2.18452954
1544184000000,2.73217773
1544198400000,1.58333337
1544212800000,2.84521484
1544227200000,4.44047022
1544241600000,3.44047046
1544256000000,-0.726155579
1544270400000,-4.29166651
1544284800000,-0.928588867
1544299200000,3.6785481
1544313600000,7.54760742
1544328000000,8.63692188
1544342400000,8.80358887
1544356800000,7.29760742
1544371200000,3.86307788
1544385600000,0.130981445
1544400000000,-2.15474439
1544414400000,-2.88094068
1544428800000,-3.0893147
1544443200000,-2.81551099
1544457600000,-1.70833337
1544472000000,0.601196289
1544486400000,0.934570312
1544500800000,-0.964274108
1544515200000,-2.76786304
1544529600000,-2.39286304
1544544000000,-2.74409986
1544558400000,-3.30952954
1544572800000,-2.26188159
1544587200000,0.517903626
1544601600000,3.42858887
1544616000000,3.23803711
1544630400000,2.54162598
1544644800000,2.05358887
1544659200000,0.886922181
1544673600000,-0.232137039
1544688000000,-0.678588867
1544702400000,-0.107137047
1544716800000,-0.410685211
1544731200000,-1.47021484
1544745600000,-1.65474451
1544760000000,-0.976236999
1544774400000,-1.14290369
1544788800000,-2.76786304
1544803200000,-3.92256665
1544817600000,-2.64282227
1544832000000,-0.511922181
1544846400000,0.517822266
1544860800000,-0.0655110702
1544875200000,0.125040695
1544889600000,0.714314759
1544904000000,2.17858887
1544918400000,3.72021484
1544932800000,4.11901855
1544947200000,2.66666675
1544961600000,0.571411133
1544976000000,-0.0535481758
1544990400000,0.523803711
1545004800000,1.625
1545019200000,1.41666663
