ts_ms,research_source_1_ang_mtm_3
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,
1542470400000,
1542484800000,
1542499200000,0.570049703
1542513600000,0.448784292
1542528000000,-0.0461964011
1542542400000,-0.879099905
1542556800000,0.0896288529
1542571200000,0.312879771
1542585600000,-0.113680102
1542600000000,-2.42133713
1542614400000,-3.13327599
1542628800000,-2.43928909
1542643200000,-0.0319077186
1542657600000,1.07292068
1542672000000,2.3284893
1542686400000,1.66528058
1542700800000,1.44207525
1542715200000,1.88864207
1542729600000,1.80319977
1542744000000,1.75225317
1542758400000,-1.85211587
1542772800000,-1.1289835
1542787200000,-0.890495002
1542801600000,0.749046743
1542816000000,-0.421768188
1542830400000,-0.190141484
1542844800000,-0.0213303175
1542859200000,0.716587067
1542873600000,-0.741830587
1542888000000,-0.590534627
1542902400000,-1.0068804
1542916800000,-0.333360463
1542931200000,-0.481908351
1542945600000,-0.135684729
1542960000000,1.02312422
1542974400000,1.18992698
1542988800000,0.825454056
1543003200000,-0.168666825
1543017600000,-0.0247266684
1543032000000,0.108322799
1543046400000,-0.327332407
1543060800000,-0.788360178
1543075200000,-1.0051558
1543089600000,-1.53753233
1543104000000,-1.38593543
1543118400000,-0.167076305
1543132800000,2.41327524
1543147200000,2.67516732
1543161600000,1.63252008
1543176000000,0.474509716
1543190400000,0.729594707
1543204800000,0.292537928
1543219200000,-1.23422217
1543233600000,-2.80973697
1543248000000,-1.61902213
1543262400000,-0.488964915
1543276800000,1.44328177
1543291200000,0.510918081
1543305600000,0.353488922
1543320000000,-0.153174922
1543334400000,0.105782405
1543348800000,0.954232991
1543363200000,1.04566109
1543377600000,1.65236187
1543392000000,0.493539095
1543406400000,0.490588754
1543420800000,-0.789597332
1543435200000,-0.542997122
1543449600000,-2.17338657
1543464000000,-1.69431305
1543478400000,-0.450425029
1543492800000,0.711883128
1543507200000,0.488796234
1543521600000,-1.08266568
1543536000000,-0.199263677
1543550400000,-0.0720986351
1543564800000,-0.798413217
1543579200000,-1.51243842
1543593600000,-0.667512298
1543608000000,1.75785398
1543622400000,1.50438941
1543636800000,0.867011189
1543651200000,0.741461456
1543665600000,1.18182456
1543680000000,1.67693162
1543694400000,-1.11043048
1543708800000,-1.50963426
1543723200000,-2.40426946
1543737600000,-0.281961203
1543752000000,0.132051244
1543766400000,0.851862609
1543780800000,0.655070841
1543795200000,-0.860993266
1543809600000,-1.08563316
1543824000000,-1.14025712
1543838400000,0.325185537
1543852800000,0.22988598
1543867200000,0.217453003
1543881600000,0.760403514
1543896000000,2.22127986
1543910400000,1.8339119
1543924800000,1.30989504
1543939200000,-1.85733616
1543953600000,-1.48151994
1543968000000,-2.27034259
1543982400000,-0.333629608
1543996800000,0.320679158
1544011200000,1.06808639
1544025600000,0.441312164
1544040000000,-1.02312982
1544054400000,-0.705513
1544068800000,1.47604716
1544083200000,1.90630209
1544097600000,0.432035208
1544112000000,-2.20550251
1544126400000,-2.48615527
1544140800000,-1.02505469
1544155200000,0.288573354
1544169600000,1.79737985
1544184000000,1.40114594
1544198400000,1.86323798
1544212800000,0.456246257
1544227200000,1.13147247
1544241600000,-1.05268431
1544256000000,-0.281078726
1544270400000,-1.80233896
1544284800000,-0.355426788
1544299200000,-0.230027527
1544313600000,0.879031718
1544328000000,0.757232666
1544342400000,0.0936487019
1544356800000,0.821069896
1544371200000,0.880733073
1544385600000,0.703002095
1544400000000,-1.42811799
1544414400000,-1.96930349
1544428800000,-1.2071749
1544443200000,-0.846483469
1544457600000,-0.174705103
1544472000000,-0.250712067
1544486400000,0.932043314
1544500800000,1.10219705
1544515200000,0.0956492797
1544529600000,-0.427330852
1544544000000,-0.661765218
1544558400000,0.596149445
1544572800000,0.815678895
1544587200000,1.03901839
1544601600000,0.990440369
1544616000000,1.04914904
1544630400000,-0.0304726753
1544644800000,-1.13206613
1544659200000,-2.14467883
1544673600000,-1.31243813
1544688000000,-0.8731215
1544702400000,1.02179122
1544716800000,0.160622522
1544731200000,0.0195054207
1544745600000,-1.72864032
1544760000000,0.203688309
1544774400000,0.899630606
1544788800000,1.42826378
1544803200000,-0.392465353
1544817600000,-0.376022756
1544832000000,0.364118785
1544846400000,1.23109818
1544860800000,0.19860521
1544875200000,-1.10159993
1544889600000,-0.401048005
1544904000000,0.90605247
1544918400000,2.58851194
1544932800000,0.719613433
1544947200000,0.0975607261
1544961600000,-2.04680777
1544976000000,-0.525729716
1544990400000,-1.36832976
1545004800000,0.212565526
1545019200000,0.00673421239
