ts_ms,research_source_1_ang_mtm_3
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,-5.07145166
1542456000000,-6.61897802
1542470400000,-2.4285481
1542484800000,0.714355469
1542499200000,3.30957031
1542513600000,0.178548172
1542528000000,-2.14290357
1542542400000,-1.91666663
1542556800000,-0.226236984
1542571200000,1.59521484
1542585600000,1.19042969
1542600000000,-2.23811841
1542614400000,-7.88085938
1542628800000,-17.1547852
1542643200000,-26.7975254
1542657600000,-39.3810234
1542672000000,-46.6308594
1542686400000,-56.25
1542700800000,-67.6310196
1542715200000,-70.5358047
1542729600000,-72.7737656
1542744000000,-71.5712891
1542758400000,-79.1547852
1542772800000,-80.3453751
1542787200000,-76.6787109
1542801600000,-70.5714493
1542816000000,-65.0237656
1542830400000,-54.8333321
1542844800000,-44.4641914
1542859200000,-29.5952148
1542873600000,-24.0356445
1542888000000,-16.5118809
1542902400000,-9.54768848
1542916800000,-11.9762373
1542931200000,-15.5358076
1542945600000,-20.5475254
1542960000000,-13.2260742
1542974400000,-11.7737627
1542988800000,-14.833333
1543003200000,-16.6310215
1543017600000,-14.1070967
1543032000000,-14.2024736
1543046400000,-15.1070967
1543060800000,-19.4881191
1543075200000,-20.6189785
1543089600000,-30.2858067
1543104000000,-41.5595703
1543118400000,-47.2262383
1543132800000,-41.8214531
1543147200000,-35.3928223
1543161600000,-34.0118828
1543176000000,-31.499918
1543190400000,-25.7976074
1543204800000,-21.6547031
1543219200000,-22.7142735
1543233600000,-30.7857265
1543248000000,-34.7023926
1543262400000,-37.7262383
1543276800000,-34.4405098
1543291200000,-23.8929043
1543305600000,-11.5952148
1543320000000,-1.86905921
1543334400000,-2.29760742
1543348800000,-1.59521484
1543363200000,0.571451843
1543377600000,4.13094091
1543392000000,3.84521484
1543406400000,7.8929038
1543420800000,13.9047852
1543435200000,26.1785488
1543449600000,29.6070957
1543464000000,31.916666
1543478400000,34.7619629
1543492800000,38.0952148
1543507200000,40.4405098
1543521600000,38.154705
1543536000000,39.095295
1543550400000,35.5594902
1543564800000,24.333334
1543579200000,10.1189775
1543593600000,-0.25
1543608000000,-7.47623682
1543622400000,-13.2737627
1543636800000,-18.6310215
1543651200000,-13.6070967
1543665600000,-6.19042969
1543680000000,-2.26188159
1543694400000,-4.71427393
1543708800000,-6.11905909
1543723200000,-6.39282227
1543737600000,-8.42854786
1543752000000,-8.51196289
1543766400000,-1.32145178
1543780800000,6.47615576
1543795200000,7.48811865
1543809600000,2.83333325
1543824000000,-0.5
1543838400000,-3.36905932
1543852800000,-10.6785479
1543867200000,-18.8094883
1543881600000,-25.7976074
1543896000000,-22.0237637
1543910400000,-18.2618809
1543924800000,-11.6071777
1543939200000,-11.5357256
1543953600000,-12.0119629
1543968000000,-15.3452148
1543982400000,-18.9762363
1543996800000,-16.0952148
1544011200000,-12.6547852
1544025600000,-11.6547041
1544040000000,-12.6071777
1544054400000,-11.8094893
1544068800000,-5.70239258
1544083200000,-3.73803711
1544097600000,-9.5
1544112000000,-16.8214512
1544126400000,-28.7142735
1544140800000,-34.5238457
1544155200000,-39.6190605
1544169600000,-37.6547852
1544184000000,-35.25
1544198400000,-32.1904297
1544212800000,-32.0833321
1544227200000,-26.5
1544241600000,-23.2023926
1544256000000,-19.6190586
1544270400000,-24.6547031
1544284800000,-28.2023926
1544299200000,-26.5118809
1544313600000,-20.8452969
1544328000000,-11.416667
1544342400000,-3.5714519
1544356800000,6.19051123
1544371200000,11.0237627
1544385600000,13.916667
1544400000000,11.2857256
1544414400000,9.60717773
1544428800000,5.52384424
1544443200000,3.4285481
1544457600000,-0.107177734
1544472000000,0.0118815107
1544486400000,1.09521484
1544500800000,1.8810221
1544515200000,-0.833333313
1544529600000,-3.65470386
1544544000000,-5.61905909
1544558400000,-9.14290333
1544572800000,-12.2381182
1544587200000,-13.666667
1544601600000,-11.2023115
1544616000000,-6.80948877
1544630400000,-4.72623682
1544644800000,-1.72623694
1544659200000,-0.619059265
1544673600000,0.0476074219
1544688000000,-1.08333337
1544702400000,-1.30957031
1544716800000,-1.29760742
1544731200000,-2.13094068
1544745600000,-4.23803711
1544760000000,-5.44042969
1544774400000,-6.19051123
1544788800000,-7.72623682
1544803200000,-11.7262373
1544817600000,-15.5713701
1544832000000,-17.0118809
1544846400000,-16.5952148
1544860800000,-15.9762373
1544875200000,-16.7262363
1544889600000,-15.7261553
1544904000000,-15.2976074
1544918400000,-11.3689775
1544932800000,-7.85717773
1544947200000,-3.13094068
1544961600000,-2.52384448
