ts_ms,research_source_1_ang_mtm_3
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,-1.14290369
1542441600000,-0.511230469
1542456000000,-0.270507812
1542470400000,-0.244628906
1542484800000,-0.162597656
1542499200000,0.709147155
1542513600000,0.809244812
1542528000000,1.00504553
1542542400000,0.381510407
1542556800000,2.95589185
1542571200000,3.37207031
1542585600000,2.96386719
1542600000000,-2.25406909
1542614400000,-18.7529297
1542628800000,-23.0595703
1542643200000,-32.9876289
1542657600000,-26.9868164
1542672000000,-30.814291
1542686400000,-75.4628906
1542700800000,-96.573082
1542715200000,-100.92041
1542729600000,-55.1748047
1542744000000,-40.4765625
1542758400000,-29.2892246
1542772800000,-41.8349609
1542787200000,-36.090332
1542801600000,-44.2859688
1542816000000,-22.4580078
1542830400000,-12.7729492
1542844800000,-3.28125
1542859200000,-1.34049475
1542873600000,-6.21875
1542888000000,-9.74560547
1542902400000,-11.5421553
1542916800000,-12.4064131
1542931200000,-18.0909824
1542945600000,-25.8305664
1542960000000,-23.9318027
1542974400000,-17.7099609
1542988800000,-11.9117842
1543003200000,-9.19335938
1543017600000,-7.60205078
1543032000000,-5.24934912
1543046400000,-4.83089209
1543060800000,-5.47526026
1543075200000,-7.43343115
1543089600000,-35.7277031
1543104000000,-56.1419258
1543118400000,-76.1632462
1543132800000,-82.0219727
1543147200000,-72.8779297
1543161600000,-61.8596992
1543176000000,-33.1542969
1543190400000,-22.1459961
1543204800000,-11.4169922
1543219200000,-10.77946
1543233600000,-20.310709
1543248000000,-37.7124825
1543262400000,-42.9205742
1543276800000,-36.1437988
1543291200000,-21.8837891
1543305600000,-21.5342617
1543320000000,-23.3058262
1543334400000,-22.8763828
1543348800000,-14.6211748
1543363200000,-9.38208008
1543377600000,-4.18066406
1543392000000,-0.15022786
1543406400000,6.16707373
1543420800000,12.7305498
1543435200000,17.2426758
1543449600000,15.6271162
1543464000000,10.5999346
1543478400000,9.88305664
1543492800000,10.345459
1543507200000,10.7325029
1543521600000,7.95597315
1543536000000,8.59741211
1543550400000,9.27954102
1543564800000,6.35205078
1543579200000,1.00211585
1543593600000,-3.76424146
1543608000000,-4.76497412
1543622400000,-4.10872412
1543636800000,-5.20581055
1543651200000,-2.57649732
1543665600000,3.01513672
1543680000000,10.4606934
1543694400000,12.3002119
1543708800000,10.2650557
1543723200000,6.20426416
1543737600000,4.13997412
1543752000000,1.80135095
1543766400000,1.34049475
1543780800000,1.50333655
1543795200000,-1.60831702
1543809600000,-5.43579102
1543824000000,-9.16129589
1543838400000,-15.4227705
1543852800000,-20.5579433
1543867200000,-22.4850254
1543881600000,-18.5163574
1543896000000,-13.8598633
1543910400000,-9.09627247
1543924800000,-4.10994482
1543939200000,-0.78108722
1543953600000,-0.572509766
1543968000000,-2.89786792
1543982400000,-9.19571972
1543996800000,-11.5651045
1544011200000,-11.8513184
1544025600000,-12.6732588
1544040000000,-15.0297041
1544054400000,-18.4261875
1544068800000,-16.1341953
1544083200000,-13.1050615
1544097600000,-29.3581543
1544112000000,-35.840332
1544126400000,-43.5919609
1544140800000,-44.4365234
1544155200000,-38.6855469
1544169600000,-32.1629219
1544184000000,-10.9108887
1544198400000,-14.5801592
1544212800000,-13.183919
1544227200000,-12.3061523
1544241600000,-4.42903662
1544256000000,-3.57568359
1544270400000,-6.45345068
1544284800000,-10.7189941
1544299200000,-16.3968906
1544313600000,-16.6733398
1544328000000,-11.7983398
1544342400000,-6.92854834
1544356800000,-1.85343421
1544371200000,3.35424805
1544385600000,5.6942544
1544400000000,5.24625635
1544414400000,0.870198548
1544428800000,-0.400309235
1544443200000,-2.52832031
1544457600000,-5.76944971
1544472000000,-8.16739941
1544486400000,-8.51896191
1544500800000,-5.09562159
1544515200000,-2.98697925
1544529600000,-1.48852539
1544544000000,-1.65340173
1544558400000,-1.1935221
1544572800000,-3.40974927
1544587200000,-3.63264966
1544601600000,-3.94278979
1544616000000,-2.19563794
1544630400000,-1.60652673
1544644800000,-1.41097009
1544659200000,-2.24544263
1544673600000,-3.54931641
1544688000000,-4.54654932
1544702400000,-4.15535498
1544716800000,-6.09098291
1544731200000,-15.1627607
1544745600000,-20.5425625
1544760000000,-18.8830566
1544774400000,-8.81925488
1544788800000,-2.73055005
1544803200000,-7.32861328
1544817600000,-14.7235518
1544832000000,-16.4440098
1544846400000,-12.7007647
1544860800000,-9.94034863
1544875200000,-8.78361034
1544889600000,-9.31013966
1544904000000,-5.79288721
1544918400000,-5.71484375
1544932800000,-3.38517261
1544947200000,-2.76049805
