ts_ms,research_source_1_ang_mtm_3
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,
1542470400000,
1542484800000,
1542499200000,
1542513600000,
1542528000000,
1542542400000,
1542556800000,
1542571200000,
1542585600000,
1542600000000,
1542614400000,
1542628800000,
1542643200000,
1542657600000,
1542672000000,
1542686400000,
1542700800000,
1542715200000,
1542729600000,
1542744000000,
1542758400000,
1542772800000,
1542787200000,
1542801600000,
1542816000000,
1542830400000,
1542844800000,
1542859200000,
1542873600000,
1542888000000,
1542902400000,
1542916800000,
1542931200000,-5.61881495
1542945600000,-7.76057959
1542960000000,-7.2366538
1542974400000,-5.52164698
1542988800000,-3.84065747
1543003200000,-2.87516284
1543017600000,-2.36702466
1543032000000,-1.64648438
1543046400000,-1.45882165
1543060800000,-1.50537109
1543075200000,-1.85286462
1543089600000,-7.12776709
1543104000000,-10.9514971
1543118400000,-15.1443682
1543132800000,-18.7711582
1543147200000,-18.7858067
1543161600000,-18.1844082
1543176000000,-12.6617842
1543190400000,-9.82259083
1543204800000,-6.56835938
1543219200000,-6.14892578
1543233600000,-9.43424511
1543248000000,-16.5856113
1543262400000,-18.6521816
1543276800000,-16.5475254
1543291200000,-11.1080732
1543305600000,-11.5003252
1543320000000,-13.0485029
1543334400000,-13.331706
1543348800000,-10.1622725
1543363200000,-8.47281933
1543377600000,-7.39908838
1543392000000,-6.34619141
1543406400000,-6.06184912
1543420800000,-6.33170557
1543435200000,-6.49007177
1543449600000,-5.7265625
1543464000000,-4.75
1543478400000,-4.19873047
1543492800000,-3.67952466
1543507200000,-3.51416016
1543521600000,-3.32845044
1543536000000,-3.76546216
1543550400000,-4.38818359
1543564800000,-5.58675146
1543579200000,-6.30745459
1543593600000,-6.44173193
1543608000000,-6.19921875
1543622400000,-4.6170249
1543636800000,-5.27229834
1543651200000,-4.59749365
1543665600000,-7.05306005
1543680000000,-6.53629541
1543694400000,-7.20556641
1543708800000,-6.3046875
1543723200000,-7.90055323
1543737600000,-9.29882812
1543752000000,-9.60514355
1543766400000,-7.70117188
1543780800000,-6.08186865
1543795200000,-6.46126318
1543809600000,-7.79361963
1543824000000,-9.08235645
1543838400000,-12.5042315
1543852800000,-14.7259111
1543867200000,-15.7119141
1543881600000,-13.5065107
1543896000000,-14.824544
1543910400000,-14.6967773
1543924800000,-11.9796553
1543939200000,-7.25911474
1543953600000,-3.36653638
1543968000000,-4.78173828
1543982400000,-9.6193037
1543996800000,-13.0976562
1544011200000,-13.9129229
1544025600000,-13.4847002
1544040000000,-13.9557295
1544054400000,-16.0488281
1544068800000,-18.3155918
1544083200000,-19.0431309
1544097600000,-41.7412109
1544112000000,-50.125
1544126400000,-55.9309883
1544140800000,-49.6106758
1544155200000,-39.5947266
1544169600000,-32.519043
1544184000000,-12.3212891
1544198400000,-18.4868164
1544212800000,-17.0874023
1544227200000,-16.6305332
1544241600000,-6.76497412
1544256000000,-5.64241552
1544270400000,-8.41259766
1544284800000,-12.6984053
1544299200000,-20.3847656
1544313600000,-20.6209316
1544328000000,-15.8554688
1544342400000,-10.5258789
1544356800000,-16.3583984
1544371200000,-21.7550449
1544385600000,-23.321207
1544400000000,-15.66154
1544414400000,-11.8990889
1544428800000,-9.32584667
1544443200000,-10.2264814
1544457600000,-13.9042158
1544472000000,-16.8121738
1544486400000,-16.6726894
1544500800000,-9.19929981
1544515200000,-4.9935708
1544529600000,-2.08349609
1544544000000,-1.95288086
1544558400000,-1.26359046
1544572800000,-3.55314136
1544587200000,-4.02555323
1544601600000,-5.06990576
1544616000000,-6.41853857
1544630400000,-6.58618164
1544644800000,-7.0142417
1544659200000,-6.00968409
1544673600000,-6.71565771
1544688000000,-6.91870117
1544702400000,-6.2904458
1544716800000,-8.25520802
1544731200000,-15.3566895
1544745600000,-19.1402988
1544760000000,-17.2818203
1544774400000,-8.62573242
1544788800000,-2.98974609
1544803200000,-5.9611001
1544817600000,-12.5345869
1544832000000,-14.647542
1544846400000,-12.6534014
1544860800000,-10.3552246
1544875200000,-8.68033886
1544889600000,-8.78222656
1544904000000,-5.98901367
1544918400000,-6.95035791
1544932800000,-5.48819971
1544947200000,-5.53051758
1544961600000,-5.50113916
1544976000000,-5.70532227
1544990400000,-5.62882471
1545004800000,-6.99373388
1545019200000,-7.68676758
1545033600000,-7.64640284
1545048000000,-7.69458008
1545062400000,-7.87288427
1545076800000,-6.87703466
1545091200000,-3.80712891
1545105600000,-1.89322913
1545120000000,-1.97224939
1545134400000,-2.47599292
1545148800000,-2.2811687
