ts_ms,research_source_1_ang_mtm_3
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,0.329563141
1542470400000,-0.341604859
1542484800000,0.424902588
1542499200000,2.03971219
1542513600000,1.00474799
1542528000000,0.286313385
1542542400000,-0.597587585
1542556800000,1.27363455
1542571200000,1.2249527
1542585600000,-0.938627899
1542600000000,-5.99037695
1542614400000,-8.17487526
1542628800000,-8.25649548
1542643200000,-6.0861001
1542657600000,-4.95611334
1542672000000,-1.27102721
1542686400000,-1.09025824
1542700800000,-0.629887581
1542715200000,4.39489889
1542729600000,4.31934118
1542744000000,4.62687206
1542758400000,-1.16144884
1542772800000,0.932390869
1542787200000,1.95538712
1542801600000,1.08569145
1542816000000,-0.332913727
1542830400000,1.38496268
1542844800000,1.0217005
1542859200000,1.81684744
1542873600000,-0.840529144
1542888000000,-0.749903381
1542902400000,-1.20379388
1542916800000,-1.8406105
1542931200000,-2.1956284
1542945600000,-1.61084807
1542960000000,1.22876227
1542974400000,1.37415254
1542988800000,0.8655141
1543003200000,0.72276181
1543017600000,1.29997253
1543032000000,1.1904825
1543046400000,-0.259235382
1543060800000,-1.06510794
1543075200000,-1.82498491
1543089600000,-4.87183237
1543104000000,-5.22291422
1543118400000,-2.32621384
1543132800000,2.36799312
1543147200000,2.80258751
1543161600000,2.57134628
1543176000000,3.79152226
1543190400000,4.99137163
1543204800000,3.44896007
1543219200000,0.0888557434
1543233600000,-3.43783951
1543248000000,-1.40810645
1543262400000,-1.378039
1543276800000,0.89200592
1543291200000,0.124647774
1543305600000,-0.317572266
1543320000000,0.43248114
1543334400000,0.441994995
1543348800000,2.54512668
1543363200000,3.56946445
1543377600000,5.39908075
1543392000000,4.02574396
1543406400000,5.04123068
1543420800000,3.0302887
1543435200000,2.3967526
1543449600000,-1.47892892
1543464000000,-2.05265045
1543478400000,1.04547751
1543492800000,0.656720459
1543507200000,-0.586261749
1543521600000,-2.20251966
1543536000000,0.0589294434
1543550400000,-0.802557647
1543564800000,-4.59775925
1543579200000,-4.47838593
1543593600000,-2.80509448
1543608000000,0.675802886
1543622400000,0.0347824097
1543636800000,-0.204060867
1543651200000,2.90018725
1543665600000,3.58025622
1543680000000,4.82673407
1543694400000,-0.431104034
1543708800000,-0.948646545
1543723200000,-2.38607407
1543737600000,-1.27698767
1543752000000,-0.552492797
1543766400000,0.169513702
1543780800000,0.688224792
1543795200000,-3.13547254
1543809600000,-3.08738589
1543824000000,-2.73254657
1543838400000,-2.15991592
1543852800000,-2.39772797
1543867200000,-2.08018756
1543881600000,0.121294655
1543896000000,4.26611185
1543910400000,3.42154813
1543924800000,4.05097961
1543939200000,-1.30589676
1543953600000,-1.02301157
1543968000000,-2.76004791
1543982400000,-2.30678558
1543996800000,-0.0609741211
1544011200000,0.444211334
1544025600000,-0.982849121
1544040000000,-3.13036346
1544054400000,-1.67232764
1544068800000,3.44529223
1544083200000,2.58854294
1544097600000,-0.376221985
1544112000000,-3.17121506
1544126400000,-4.86992264
1544140800000,-3.45138621
1544155200000,-2.30549502
1544169600000,0.522216797
1544184000000,0.752051651
1544198400000,3.28421903
1544212800000,1.89095557
1544227200000,4.14646912
1544241600000,0.126166031
1544256000000,1.04771936
1544270400000,-1.26054764
1544284800000,-0.940114319
1544299200000,0.35763678
1544313600000,1.37654746
1544328000000,1.33158362
1544342400000,0.638582885
1544356800000,3.8397572
1544371200000,3.97378278
1544385600000,2.74758911
1544400000000,-0.444596618
1544414400000,-1.93412781
1544428800000,-0.873935699
1544443200000,-2.98404694
1544457600000,-2.45824313
1544472000000,-1.62607193
1544486400000,-0.187917069
1544500800000,0.848347962
1544515200000,-1.33912408
1544529600000,-1.46990967
1544544000000,-1.13694763
1544558400000,0.44932428
1544572800000,0.977127075
1544587200000,1.98010767
1544601600000,3.42064548
1544616000000,4.12457418
1544630400000,1.88868964
1544644800000,0.0244471226
1544659200000,-2.30946231
1544673600000,-2.04862475
1544688000000,-2.5949173
1544702400000,0.755911529
1544716800000,-1.5667572
1544731200000,-2.53640103
1544745600000,-4.43000937
1544760000000,-0.955692291
1544774400000,0.162490845
1544788800000,-0.145217896
1544803200000,-2.13308835
1544817600000,-0.965577424
1544832000000,0.947138488
1544846400000,1.56020606
1544860800000,-0.369761795
1544875200000,-2.35766149
1544889600000,0.357062012
1544904000000,2.34839559
1544918400000,5.40787458
1544932800000,2.51590228
1544947200000,2.64107776
1544961600000,-0.732549012
1544976000000,0.938713074
1544990400000,-1.46391165
1545004800000,-0.0948524475
