ts_ms,close_research_slow_delta
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,-3.02832031
1542398400000,2.75048828
1542412800000,-41.1899414
1542427200000,-0.099609375
1542441600000,-16.7158203
1542456000000,-26.878418
1542470400000,-13.3657227
1542484800000,-3.22802734
1542499200000,38.4941406
1542513600000,20.206543
1542528000000,8.25683594
1542542400000,20.8496094
1542556800000,50.8388672
1542571200000,38.140625
1542585600000,-4.54199219
1542600000000,-124.398926
1542614400000,-210.100586
1542628800000,-325.363281
1542643200000,-451.436035
1542657600000,-644.140137
1542672000000,-551.42041
1542686400000,-616.047363
1542700800000,-764.920898
1542715200000,-334.65918
1542729600000,-530.022949
1542744000000,-609.491211
1542758400000,-525.791504
1542772800000,-414.518066
1542787200000,-363.720215
1542801600000,-318.433594
1542816000000,-418.644043
1542830400000,-287.401367
1542844800000,-299.089844
1542859200000,-305.122559
1542873600000,-353.745117
1542888000000,-344.853027
1542902400000,-388.496094
1542916800000,-504.525879
1542931200000,-519.580078
1542945600000,-487.504395
1542960000000,-404.230469
1542974400000,-415.450195
1542988800000,-442.769043
1543003200000,-377.650391
1543017600000,-358.144043
1543032000000,-393.020996
1543046400000,-391.657715
1543060800000,-416.218262
1543075200000,-503.220703
1543089600000,-765.474609
1543104000000,-839.29248
1543118400000,-700.730957
1543132800000,-521.408691
1543147200000,-527.158691
1543161600000,-428.651855
1543176000000,-265.445801
1543190400000,-212.220703
1543204800000,-221.400879
1543219200000,-243.107422
1543233600000,-456.288574
1543248000000,-301.263428
1543262400000,-315.845703
1543276800000,-342.357178
1543291200000,-273.612061
1543305600000,-326.24292
1543320000000,-289.939697
1543334400000,-224.98291
1543348800000,-159.379395
1543363200000,-84.293457
1543377600000,93.559082
1543392000000,77.5712891
1543406400000,240.205322
1543420800000,297.867432
1543435200000,236.343262
1543449600000,144.323975
1543464000000,161.567627
1543478400000,331.694092
1543492800000,215.287598
1543507200000,152.870117
1543521600000,194.326172
1543536000000,208.995361
1543550400000,99.5314941
1543564800000,-118.72998
1543579200000,-85.0109863
1543593600000,-88.1757812
1543608000000,-64.9350586
1543622400000,-73.6848145
1543636800000,-87.0583496
1543651200000,104.794434
1543665600000,124.269775
1543680000000,171.55957
1543694400000,66.8937988
1543708800000,57.9746094
1543723200000,27.9467773
1543737600000,-11.526123
1543752000000,23.5705566
1543766400000,31.925293
1543780800000,20.4638672
1543795200000,-128.104492
1543809600000,-107.767334
1543824000000,-93.0522461
1543838400000,-216.836182
1543852800000,-191.093506
1543867200000,-160.097168
1543881600000,-164.787109
1543896000000,7.98608398
1543910400000,-10.3083496
1543924800000,2.04272461
1543939200000,-52.6706543
1543953600000,-57.5908203
1543968000000,-121.263672
1543982400000,-141.083496
1543996800000,-58.3955078
1544011200000,-97.2097168
1544025600000,-202.063721
1544040000000,-188.306396
1544054400000,-153.431152
1544068800000,-31.6611328
1544083200000,-69.9912109
1544097600000,-149.856689
1544112000000,-109.140137
1544126400000,-284.215332
1544140800000,-323.547119
1544155200000,-256.083496
1544169600000,-237.226562
1544184000000,-305.814453
1544198400000,-119.343018
1544212800000,-204.674805
1544227200000,-133.395996
1544241600000,-142.555908
1544256000000,-154.947754
1544270400000,-203.535645
1544284800000,-180.398926
1544299200000,-119.25708
1544313600000,-100.515625
1544328000000,-94.0039062
1544342400000,-75.9714355
1544356800000,52.0446777
1544371200000,49.4333496
1544385600000,13.4458008
1544400000000,18.8059082
1544414400000,-30.6772461
1544428800000,-21.3532715
1544443200000,-98.1091309
1544457600000,-122.868896
1544472000000,-81.3510742
1544486400000,-97.0522461
1544500800000,-88.0820312
1544515200000,-133.390137
1544529600000,-160.08667
1544544000000,-143.121826
1544558400000,-130.80957
1544572800000,-126.357422
1544587200000,-85.723877
1544601600000,-32.9812012
1544616000000,-12.7705078
1544630400000,-29.4042969
1544644800000,-27.248291
1544659200000,-69.0341797
1544673600000,-75.2563477
1544688000000,-85.6086426
1544702400000,-46.5681152
1544716800000,-117.483398
1544731200000,-142.620361
1544745600000,-133.44043
1544760000000,-112.334229
1544774400000,-124.162598
1544788800000,-143.248779
1544803200000,-172.348389
1544817600000,-134.491943
1544832000000,-102.916748
1544846400000,-115.246094
1544860800000,-141.670898
1544875200000,-164.565918
1544889600000,-117.315674
1544904000000,-96.2922363
1544918400000,-42.9213867
1544932800000,-62.1601562
1544947200000,-38.0107422
1544961600000,-60.9250488
1544976000000,-39.300293
1544990400000,-73.5554199
1545004800000,-59.2299805
1545019200000,-16.0412598
1545033600000,-19.3837891
1545048000000,125.074219
1545062400000,226.19458
