ts_ms,close_research_slow_delta
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,
1542470400000,
1542484800000,
1542499200000,
1542513600000,
1542528000000,
1542542400000,
1542556800000,
1542571200000,
1542585600000,
1542600000000,
1542614400000,
1542628800000,
1542643200000,
1542657600000,
1542672000000,
1542686400000,
1542700800000,
1542715200000,
1542729600000,
1542744000000,
1542758400000,
1542772800000,
1542787200000,
1542801600000,
1542816000000,
1542830400000,
1542844800000,
1542859200000,
1542873600000,
1542888000000,-860.618652
1542902400000,-907.983887
1542916800000,-1037.58203
1542931200000,-1072.76221
1542945600000,-1061.20215
1542960000000,-987.37207
1542974400000,-1005.19727
1542988800000,-1040.68018
1543003200000,-979.746582
1543017600000,-963.596191
1543032000000,-1001.74072
1543046400000,-1003.87012
1543060800000,-1033.58008
1543075200000,-1128.68213
1543089600000,-1463.48682
1543104000000,-1592.22559
1543118400000,-1509.24902
1543132800000,-1409.17334
1543147200000,-1442.36816
1543161600000,-1368.1958
1543176000000,-1214.68799
1543190400000,-1164.40039
1543204800000,-1175.49072
1543219200000,-1206.24121
1543233600000,-1441.09766
1543248000000,-1318.73389
1543262400000,-1351.78467
1543276800000,-1385.95508
1543291200000,-1323.40967
1543305600000,-1392.28369
1543320000000,-1364.30957
1543334400000,-1303.41455
1543348800000,-1238.79688
1543363200000,-1161.39111
1543377600000,-975.217285
1543392000000,-983.258301
1543406400000,-800.205566
1543420800000,-713.722168
1543435200000,-753.288086
1543449600000,-832.025879
1543464000000,-803.972168
1543478400000,-615.691895
1543492800000,-718.987305
1543507200000,-769.929688
1543521600000,-719.206543
1543536000000,-688.190918
1543550400000,-782.265137
1543564800000,-996.446289
1543579200000,-960.268555
1543593600000,-961.939941
1543608000000,-938.348633
1543622400000,-947.41748
1543636800000,-960.623047
1543651200000,-762.556152
1543665600000,-719.258301
1543680000000,-651.01416
1543694400000,-741.939453
1543708800000,-735.844238
1543723200000,-752.3125
1543737600000,-780.042969
1543752000000,-736.028809
1543766400000,-721.208984
1543780800000,-725.297363
1543795200000,-873.14502
1543809600000,-853.828125
1543824000000,-839.050293
1543838400000,-970.632324
1543852800000,-954.650391
1543867200000,-926.414551
1543881600000,-933.612793
1543896000000,-752.676758
1543910400000,-759.824219
1543924800000,-743.173828
1543939200000,-793.899414
1543953600000,-798.724609
1543968000000,-860.828613
1543982400000,-881.041504
1543996800000,-794.931641
1544011200000,-830.589844
1544025600000,-939.587402
1544040000000,-928.064453
1544054400000,-893.943359
1544068800000,-762.640625
1544083200000,-791.935059
1544097600000,-853.219727
1544112000000,-797.265625
1544126400000,-969.14209
1544140800000,-1011.3877
1544155200000,-941.481445
1544169600000,-921.084961
1544184000000,-989.423828
1544198400000,-793.020996
1544212800000,-876.822754
1544227200000,-804.032227
1544241600000,-809.226074
1544256000000,-820.895508
1544270400000,-868.294434
1544284800000,-841.130859
1544299200000,-773.241211
1544313600000,-753.431641
1544328000000,-742.564453
1544342400000,-719.163574
1544356800000,-557.356445
1544371200000,-523.799316
1544385600000,-542.699951
1544400000000,-527.871826
1544414400000,-565.602051
1544428800000,-550.722412
1544443200000,-621.692383
1544457600000,-633.389404
1544472000000,-584.785889
1544486400000,-596.174316
1544500800000,-586.291504
1544515200000,-630.805176
1544529600000,-657.423828
1544544000000,-640.432861
1544558400000,-628.014404
1544572800000,-623.264404
1544587200000,-581.856201
1544601600000,-526.804688
1544616000000,-497.008789
1544630400000,-510.597656
1544644800000,-504.261963
1544659200000,-541.979736
1544673600000,-546.950684
1544688000000,-555.505859
1544702400000,-513.108398
1544716800000,-582.685059
1544731200000,-611.935791
1544745600000,-604.1875
1544760000000,-582.3396
1544774400000,-594.058594
1544788800000,-613.218262
1544803200000,-646.456299
1544817600000,-610.954834
1544832000000,-578.275635
1544846400000,-589.496094
1544860800000,-616.88916
1544875200000,-640.234619
1544889600000,-593.149414
1544904000000,-570.922119
1544918400000,-514.883545
1544932800000,-531.684814
1544947200000,-504.330566
1544961600000,-524.380127
1544976000000,-500.068848
1544990400000,-532.444092
1545004800000,-514.398926
1545019200000,-466.008545
1545033600000,-465.004883
1545048000000,-295.815186
1545062400000,-146.889893
1545076800000,-183.373779
1545091200000,-143.893799
1545105600000,-175.210205
1545120000000,-195.457031
1545134400000,-160.96582
1545148800000,-148.366699
1545163200000,-4.96020508
1545177600000,73.8283691
1545192000000,41.0830078
1545206400000,135.868408
1545220800000,91.6745605
1545235200000,79.4177246
1545249600000,1.03710938
1545264000000,36.3303223
