ts_ms,research_source__d1
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,-4.5
1542427200000,-6.53564453
1542441600000,-6.5
1542456000000,-0.535644531
1542470400000,4.46435547
1542484800000,2.10717773
1542499200000,-1.33935547
1542513600000,-3.71435547
1542528000000,-1.03564453
1542542400000,1.53564453
1542556800000,1.5534668
1542571200000,1.08935547
1542585600000,-4.21435547
1542600000000,-12.0534668
1542614400000,-21.2856445
1542628800000,-32.5893555
1542643200000,-45.3928223
1542657600000,-51.0356445
1542672000000,-57.8928223
1542686400000,-76.8930664
1542700800000,-72.4643555
1542715200000,-65.6069336
1542729600000,-78.4462891
1542744000000,-82.0358887
1542758400000,-78.7680664
1542772800000,-74.7321777
1542787200000,-67.375
1542801600000,-61.2856445
1542816000000,-51.125
1542830400000,-36.5356445
1542844800000,-23.4284668
1542859200000,-20.4821777
1542873600000,-16.9106445
1542888000000,-1.6965332
1542902400000,-13.6787109
1542916800000,-25.8928223
1542931200000,-14.5534668
1542945600000,-10.2141113
1542960000000,-12.7321777
1542974400000,-16.9643555
1542988800000,-17.5
1543003200000,-11.6428223
1543017600000,-13.3215332
1543032000000,-19
1543046400000,-19.5712891
1543060800000,-21.5893555
1543075200000,-35.1965332
1543089600000,-50.9821777
1543104000000,-47
1543118400000,-35.5893555
1543132800000,-33.2320557
1543147200000,-35.2856445
1543161600000,-29.75
1543176000000,-20.9106445
1543190400000,-20.5178223
1543204800000,-25.125
1543219200000,-34.6071777
1543233600000,-38.5
1543248000000,-35.5357666
1543262400000,-34.2143555
1543276800000,-17.75
1543291200000,-1.26782227
1543305600000,-1.17858887
1543320000000,-3.80358887
1543334400000,-0.857055664
1543348800000,3.125
1543363200000,4.78564453
1543377600000,4.05358887
1543392000000,8.76794434
1543406400000,19.875
1543420800000,31.4820557
1543435200000,32.3214111
1543449600000,28.4821777
1543464000000,39.2143555
1543478400000,41.5892334
1543492800000,37
1543507200000,39.3035889
1543521600000,39.5714111
1543536000000,33.1071777
1543550400000,17.1606445
1543564800000,1.41064453
1543579200000,-3.76782227
1543593600000,-9.23217773
1543608000000,-18.125
1543622400000,-20.5
1543636800000,-9.73217773
1543651200000,0.535888672
1543665600000,-3.48217773
1543680000000,-7.51794434
1543694400000,-5.24987793
1543708800000,-6
1543723200000,-10.9821777
1543737600000,-8.42858887
1543752000000,4.66064453
1543766400000,11.5
1543780800000,4.7857666
1543795200000,-0.803588867
1543809600000,-0.482177734
1543824000000,-4.51782227
1543838400000,-16.0714111
1543852800000,-23.6428223
1543867200000,-27.1964111
1543881600000,-20.8928223
1543896000000,-12.3392334
1543910400000,-11.5715332
1543924800000,-10.8035889
1543939200000,-12.9464111
1543953600000,-17.2857666
1543968000000,-21.25
1543982400000,-14.0714111
1543996800000,-7.80358887
1544011200000,-14.5892334
1544025600000,-14
1544040000000,-8.0357666
1544054400000,-4.23205566
1544068800000,-1.89282227
1544083200000,-13.7321777
1544097600000,-23.8571777
1544112000000,-30.7142334
1544126400000,-40.2857666
1544140800000,-40.2143555
1544155200000,-35.4106445
1544169600000,-33.7321777
1544184000000,-32.0178223
1544198400000,-30.6606445
1544212800000,-25.1965332
1544227200000,-18.6964111
1544241600000,-20.3392334
1544256000000,-27.375
1544270400000,-31.5714111
1544284800000,-23.125
1544299200000,-16.3393555
1544313600000,-8.92858887
1544328000000,2.7857666
1544342400000,10.0714111
1544356800000,12.9642334
1544371200000,14.375
1544385600000,10.4643555
1544400000000,6.5
1544414400000,5.73217773
1544428800000,1.19641113
1544443200000,-1.9465332
1544457600000,0.607177734
1544472000000,3
1544486400000,0.857177734
1544500800000,-2.28564453
1544515200000,-5.30358887
1544529600000,-6.32141113
1544544000000,-10.5179443
1544558400000,-15.2321777
1544572800000,-13.1070557
1544587200000,-8.9642334
1544601600000,-4.94641113
1544616000000,-3.39294434
1544630400000,-1.33935547
1544644800000,1.21435547
1544659200000,-0.732177734
1544673600000,-2.0357666
1544688000000,-0.821411133
1544702400000,-1.05358887
1544716800000,-3.26782227
1544731200000,-5.23205566
1544745600000,-6.01782227
1544760000000,-6.1965332
1544774400000,-8.6607666
1544788800000,-14.3214111
1544803200000,-17.9642334
1544817600000,-16.5892334
1544832000000,-15.8571777
1544846400000,-16.4107666
1544860800000,-16.7857666
1544875200000,-15.4820557
1544889600000,-14.2678223
1544904000000,-10.25
1544918400000,-4.32141113
1544932800000,-1.9107666
1544947200000,-2.25
1544961600000,-2.60717773
1544976000000,-2.07141113
1544990400000,-0.678588867
1545004800000,2.26782227
1545019200000,2.17858887
