ts_ms,research_source__d1
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,
1542470400000,0.773803771
1542484800000,-1.96728516
1542499200000,-2.79764819
1542513600000,-0.389851868
1542528000000,1.84228516
1542542400000,1.40177417
1542556800000,-0.125
1542571200000,-1.83630371
1542585600000,-2.62198901
1542600000000,-2.77083349
1542614400000,-2.46134424
1542628800000,-1.82739234
1542643200000,-0.229166985
1542657600000,1.33931446
1542672000000,-0.291707039
1542686400000,0.645792723
1542700800000,3.96435547
1542715200000,3.31258154
1542729600000,-0.309570312
1542744000000,-1.93465173
1542758400000,2.21427393
1542772800000,4.6370039
1542787200000,2.2947185
1542801600000,1.4910481
1542816000000,2.22615552
1542830400000,2.37500024
1542844800000,-0.0327553749
1542859200000,-3.03869653
1542873600000,-1.48514819
1542888000000,-2.13692212
1542902400000,-5.11901855
1542916800000,-3.2767334
1542931200000,2.07446289
1542945600000,4.3362627
1542960000000,-0.979248047
1542974400000,-3.40775537
1542988800000,0.583374023
1543003200000,1.8214519
1543017600000,-0.431559265
1543032000000,-1.9285481
1543046400000,-1.12797034
1543060800000,-1.37801099
1543075200000,-3.85717773
1543089600000,-1.5356853
1543104000000,5.16967773
1543118400000,7.19346142
1543132800000,2.01786304
1543147200000,-1.98512793
1543161600000,0.101176023
1543176000000,1.48807788
1543190400000,-1.28273535
1543204800000,-4.74405956
1543219200000,-3.7678628
1543233600000,0.547627807
1543248000000,3.0625
1543262400000,5.19346094
1543276800000,5.645854
1543291200000,2.04762769
1543305600000,-3.38692236
1543320000000,-5.4375
1543334400000,-1.60713696
1543348800000,1.36307788
1543363200000,0.101175904
1543377600000,-0.491048217
1543392000000,1.6964519
1543406400000,3.63092041
1543420800000,1.4106853
1543435200000,-3.13688135
1543449600000,-2.63686132
1543464000000,0.110107422
1543478400000,0.13092041
1543492800000,-1.52976489
1543507200000,-1.75594079
1543521600000,-0.663675964
1543536000000,-3.35418701
1543550400000,-5.71132421
1543564800000,-2.45534277
1543579200000,1.96132421
1543593600000,2.88989282
1543608000000,1.61010742
1543622400000,3.17260742
1543636800000,5.89884472
1543651200000,2.91963696
1543665600000,-2.74110937
1543680000000,-3.80059814
1543694400000,-0.788675964
1543708800000,0.386922181
1543723200000,-0.110148102
1543737600000,2.35414624
1543752000000,4.27681446
1543766400000,0.425618529
1543780800000,-4.65773487
1543795200000,-4.19942236
1543809600000,-0.639892578
1543824000000,-0.547607303
1543838400000,-2.30950928
1543852800000,-1.23512793
1543867200000,3.05653882
1543881600000,5.66369629
1543896000000,3.40771484
1543910400000,-0.202392578
1543924800000,-2.70534253
1543939200000,-2.63391113
1543953600000,-1.63987219
1543968000000,0.764872253
1543982400000,3.3214314
1543996800000,1.29762781
1544011200000,-1.56846106
1544025600000,-1.1488241
1544040000000,1.71429443
1544054400000,2.05655932
1544068800000,-2.67559814
1544083200000,-5.28871679
1544097600000,-3.85416651
1544112000000,-1.15474439
1544126400000,2.07737207
1544140800000,3.64286304
1544155200000,3.81846094
1544169600000,2.14882398
1544184000000,-0.300598085
1544198400000,0.0565185547
1544212800000,1.42856836
1544227200000,0.297627807
1544241600000,-2.58331299
1544256000000,-3.86606836
1544270400000,-0.101216644
1544284800000,3.98510742
1544299200000,4.23809814
1544313600000,2.47918701
1544328000000,0.627990723
1544342400000,-0.66965723
1544356800000,-2.47025537
1544371200000,-3.58331299
1544385600000,-3.00891113
1544400000000,-1.50596106
1544414400000,-0.467285156
1544428800000,0.0327148438
1544443200000,0.690490663
1544457600000,1.70835364
1544472000000,1.3214519
1544486400000,-0.782735229
1544500800000,-1.85121667
1544515200000,-0.714294434
1544529600000,0.0118815899
1544544000000,-0.458333254
1544558400000,0.241109133
1544572800000,1.91371655
1544587200000,2.84523535
1544601600000,1.36006677
1544616000000,-0.443481445
1544630400000,-0.592224121
1544644800000,-0.827351928
1544659200000,-1.14286292
1544673600000,-0.782755494
1544688000000,0.0624999963
1544702400000,0.133951828
1544716800000,-0.68153888
1544731200000,-0.622029662
1544745600000,0.246988922
1544760000000,0.25592041
1544774400000,-0.895812988
1544788800000,-1.38983154
1544803200000,0.0625203848
1544817600000,1.70532227
1544832000000,1.58032227
1544846400000,0.223205552
1544860800000,-0.196390778
1544875200000,0.389912903
1544889600000,1.02677405
1544904000000,1.50295007
1544918400000,0.970214844
1544932800000,-0.526774049
1544947200000,-1.77380371
1544961600000,-1.36010742
1544976000000,-0.0238037109
1544990400000,0.839274108
1545004800000,0.446431458
1545019200000,0.556559205
