ts_ms,research_source__d1
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,
1542427200000,
1542441600000,
1542456000000,
1542470400000,
1542484800000,
1542499200000,
1542513600000,
1542528000000,
1542542400000,
1542556800000,
1542571200000,
1542585600000,
1542600000000,
1542614400000,
1542628800000,
1542643200000,
1542657600000,
1542672000000,
1542686400000,
1542700800000,
1542715200000,
1542729600000,
1542744000000,
1542758400000,
1542772800000,
1542787200000,
1542801600000,
1542816000000,
1542830400000,
1542844800000,
1542859200000,
1542873600000,
1542888000000,
1542902400000,-4.26831055
1542916800000,-7.36083984
1542931200000,-8.43994141
1542945600000,-6.69506836
1542960000000,-4.00244141
1542974400000,-3.34594727
1542988800000,-2.7253418
1543003200000,-1.79199219
1543017600000,-1.50292969
1543032000000,-1.36303711
1543046400000,-1.58032227
1543060800000,-2.09399414
1543075200000,-9.79663086
1543089600000,-15.2282715
1543104000000,-14.1188965
1543118400000,-21.526123
1543132800000,-20.6904297
1543147200000,-13.2387695
1543161600000,-12.3400879
1543176000000,-8.14770508
1543190400000,-4.09863281
1543204800000,-6.82958984
1543219200000,-12.4465332
1543233600000,-19.7536621
1543248000000,-20.6564941
1543262400000,-12.3894043
1543276800000,-8.4375
1543291200000,-13.0856934
1543305600000,-15.3000488
1543320000000,-11.1845703
1543334400000,-8.75634766
1543348800000,-8.01171875
1543363200000,-7.03979492
1543377600000,-5.56640625
1543392000000,-6.00585938
1543406400000,-7.01806641
1543420800000,-6.20874023
1543435200000,-5.09814453
1543449600000,-4.40795898
1543464000000,-3.91699219
1543478400000,-3.49243164
1543492800000,-3.38110352
1543507200000,-3.39038086
1543521600000,-3.86938477
1543536000000,-4.97070312
1543550400000,-6.12231445
1543564800000,-6.74829102
1543579200000,-6.25317383
1543593600000,-5.95996094
1543608000000,-4.01123047
1543622400000,-4.86279297
1543636800000,-5.93066406
1543651200000,-6.68237305
1543665600000,-7.77099609
1543680000000,-6.15942383
1543694400000,-6.33496094
1543708800000,-8.81347656
1543723200000,-10.6506348
1543737600000,-8.8918457
1543752000000,-6.41699219
1543766400000,-5.36572266
1543780800000,-7.03198242
1543795200000,-8.98461914
1543809600000,-9.29736328
1543824000000,-14.0979004
1543838400000,-17.4499512
1543852800000,-14.1088867
1543867200000,-12.2687988
1543881600000,-16.1188965
1543896000000,-15.8942871
1543910400000,-8.00146484
1543924800000,-4.96240234
1543939200000,-2.97460938
1543953600000,-4.28540039
1543968000000,-14.3415527
1543982400000,-15.4484863
1543996800000,-10.7258301
1544011200000,-14.9221191
1544025600000,-15.5126953
1544040000000,-14.5720215
1544054400000,-21.4619141
1544068800000,-20.0041504
1544083200000,-49.7104492
1544097600000,-68.0847168
1544112000000,-41.2888184
1544126400000,-48.9389648
1544140800000,-43.5803223
1544155200000,-15.6513672
1544169600000,-8.02880859
1544184000000,-22.5319824
1544198400000,-22.8005371
1544212800000,-5.24438477
1544227200000,-7.04833984
1544241600000,-6.31835938
1544256000000,-7.71582031
1544270400000,-17.6323242
1544284800000,-24.2766113
1544299200000,-19.5996094
1544313600000,-10.8383789
1544328000000,-9.1340332
1544342400000,-20.3540039
1544356800000,-27.6821289
1544371200000,-19.5782471
1544385600000,-11.2137451
1544400000000,-10.5489502
1544414400000,-10.074707
1544428800000,-8.70483398
1544443200000,-17.4165039
1544457600000,-19.9532471
1544472000000,-12.8575439
1544486400000,-5.99719238
1544500800000,-2.43457031
1544515200000,-2.18383789
1544529600000,-1.43615723
1544544000000,-1.20471191
1544558400000,-4.58422852
1544572800000,-5.57910156
1544587200000,-3.4798584
1544601600000,-8.17370605
1544616000000,-7.85351562
1544630400000,-4.37341309
1544644800000,-7.30895996
1544659200000,-7.40563965
1544673600000,-5.73693848
1544688000000,-6.67114258
1544702400000,-9.41040039
1544716800000,-19.3363037
1544731200000,-22.9987793
1544745600000,-12.2980957
1544760000000,-3.56445312
1544774400000,-1.56066895
1544788800000,-8.30114746
1544803200000,-17.8817139
1544817600000,-14.590332
1544832000000,-8.47937012
1544846400000,-11.4432373
1544860800000,-8.6307373
1544875200000,-6.11987305
1544889600000,-7.40625
1544904000000,-5.88293457
1544918400000,-5.36865234
1544932800000,-5.27648926
1544947200000,-5.90234375
1544961600000,-5.63085938
1544976000000,-5.46801758
1544990400000,-7.83496094
1545004800000,-8.71777344
1545019200000,-6.44702148
1545033600000,-7.84667969
1545048000000,-9.05749512
1545062400000,-5.22070312
1545076800000,-1.74804688
1545091200000,-1.58178711
1545105600000,-2.46838379
1545120000000,-2.62219238
1545134400000,-2.04516602
