ts_ms,bb_middle,bb_upper_band,bb_lower_band
1542211200000,,,
1542225600000,,,
1542240000000,,,
1542254400000,,,
1542268800000,,,
1542283200000,,,
1542297600000,,,
1542312000000,,,
1542326400000,,,
1542340800000,,,
1542355200000,,,
1542369600000,,,
1542384000000,,,
1542398400000,5528,5628.67285,5427.32715
1542412800000,5525.85693,5630.49023,5421.22412
1542427200000,5519,5615.14355,5422.85645
1542441600000,5512.78564,5604.67041,5420.90088
1542456000000,5506,5592.99658,5419.00342
1542470400000,5511.71436,5582.04492,5441.38379
1542484800000,5514.92871,5578.67676,5451.18018
1542499200000,5515.92871,5581.1084,5450.74854
1542513600000,5512.25,5567.8916,5456.6084
1542528000000,5508.5,5554.75684,5462.24316
1542542400000,5510.17871,5557.56982,5462.78711
1542556800000,5511.57129,5564.13281,5459.01025
1542571200000,5513.28564,5569.81592,5456.75537
1542585600000,5513.75,5570.14014,5457.35986
1542600000000,5504.85693,5592.00342,5417.71094
1542614400000,5489.64307,5646.30566,5332.97998
1542628800000,5462.28564,5707.21484,5217.35645
1542643200000,5424.46436,5780.05176,5068.87695
1542657600000,5371.5,5871.12988,4871.87012
1542672000000,5322.39307,5895.00586,4749.77979
1542686400000,5255.71436,5936.55078,4574.87793
1542700800000,5168.60693,5978.64258,4358.57178
1542715200000,5110.78564,5925.64551,4295.92627
1542729600000,5037.39307,5877.73584,4197.05029
1542744000000,4953.89307,5814.32275,4093.46313
1542758400000,4873.32129,5699.58984,4047.05298
1542772800000,4796.35693,5551.60986,4041.10449
1542787200000,4723.85693,5378.35596,4069.3584
1542801600000,4661.60693,5209.89795,4113.31641
1542816000000,4601.28564,5054.24072,4148.33057
1542830400000,4559.35693,4908.29053,4210.42383
1542844800000,4528.21436,4797.69531,4258.7334
1542859200000,4512.5,4755.96729,4269.03271
1542873600000,4487.25,4670.40723,4304.09277
1542888000000,4478.67871,4657.08789,4300.26953
1542902400000,4483.85693,4647.8667,4319.84766
1542916800000,4451.32129,4596.23779,4306.40479
1542931200000,4432.07129,4617.93311,4246.20996
1542945600000,4422.21436,4635.00635,4209.42236
1542960000000,4411.64307,4634.51514,4188.77051
1542974400000,4396.75,4627.48779,4166.01221
1542988800000,4377.71436,4615.91553,4139.51318
1543003200000,4361.75,4591.20752,4132.29248
1543017600000,4354.42871,4584.18408,4124.67285
1543032000000,4335.10693,4545.37305,4124.84131
1543046400000,4316.42871,4501.57031,4131.28711
1543060800000,4295.96436,4448.60693,4143.32178
1543075200000,4273.25,4421.7334,4124.7666
1543089600000,4225.57129,4496.86719,3954.27563
1543104000000,4171.28564,4560.82617,3781.74512
1543118400000,4131.57129,4584.09473,3679.0481
1543132800000,4100.10693,4584.10156,3616.11279
1543147200000,4065.10718,4578.7417,3551.47266
1543161600000,4029.53564,4544.64209,3514.4292
1543176000000,4005.60718,4504.68311,3506.53101
1543190400000,3987.71436,4470.89307,3504.53564
1543204800000,3964.57153,4417.72314,3511.41968
1543219200000,3937.46436,4349.58057,3525.3479
1543233600000,3895.35718,4284.84863,3505.86548
1543248000000,3860.46436,4196.3335,3524.59497
1543262400000,3824.28564,4096.16113,3552.4104
1543276800000,3792.03564,4012.21802,3571.85352
1543291200000,3788.78564,4010.88794,3566.68359
1543305600000,3789.5,4009.7207,3569.2793
1543320000000,3786.42847,4012.32031,3560.53662
1543334400000,3781.89282,4010.76978,3553.01611
1543348800000,3784.71436,4012.02979,3557.39868
1543363200000,3788.14282,4017.29541,3558.99023
1543377600000,3794.28564,4042.66064,3545.91089
1543392000000,3796.25,4050.8418,3541.6582
1543406400000,3811.82153,4125.78223,3497.8606
1543420800000,3836,4224.41064,3447.5896
1543435200000,3874.78564,4298.20898,3451.36255
1543449600000,3900.64282,4339.95898,3461.32666
1543464000000,3931.75,4378.10596,3485.39404
1543478400000,3979.07153,4448.91309,3509.22974
1543492800000,4014.92847,4481.40039,3548.45679
1543507200000,4053.07153,4479.0249,3627.11792
1543521600000,4093.53564,4468.32812,3718.74341
1543536000000,4132.21436,4450.22852,3814.19995
1543550400000,4159.75,4406.93457,3912.56567
1543564800000,4166.53564,4381.45654,3951.61499
1543579200000,4162.57129,4389.77979,3935.36304
1543593600000,4159,4397.12451,3920.87549
1543608000000,4144.10693,4399.56396,3888.65039
1543622400000,4122.75,4384.62354,3860.87671
1543636800000,4103.10693,4374.39111,3831.823
1543651200000,4103.28564,4374.65674,3831.91455
1543665600000,4104.17871,4376.35791,3831.99902
1543680000000,4096.32129,4345.81836,3846.82422
1543694400000,4089.14282,4327.57422,3850.71143
1543708800000,4085.82153,4320.21973,3851.42334
1543723200000,4077.14282,4298.16064,3856.125
1543737600000,4063.85718,4261.25098,3866.46313
