ts_ms,fast_vwap,slow_vwap,vwap_color
1542211200000,,,silver
1542225600000,,,silver
1542240000000,,,silver
1542254400000,,,silver
1542268800000,,,silver
1542283200000,,,silver
1542297600000,,,silver
1542312000000,,,silver
1542326400000,,,silver
1542340800000,,,silver
1542355200000,,,silver
1542369600000,,,silver
1542384000000,5509.02832,,silver
1542398400000,5506.74951,,silver
1542412800000,5505.68994,,silver
1542427200000,5505.59961,,silver
1542441600000,5505.21582,,silver
1542456000000,5504.87842,,silver
1542470400000,5504.86572,,silver
1542484800000,5504.72803,,silver
1542499200000,5507.00586,,silver
1542513600000,5507.29346,,silver
1542528000000,5507.74316,,silver
1542542400000,5508.15039,,silver
1542556800000,5516.16113,,silver
1542571200000,5517.85938,,silver
1542585600000,5517.04199,,silver
1542600000000,5509.39893,,silver
1542614400000,5461.60059,,silver
1542628800000,5447.86328,,silver
1542643200000,5410.43604,,silver
1542657600000,5380.64014,,silver
1542672000000,5355.42041,,silver
1542686400000,5184.04736,,silver
1542700800000,5090.9209,,silver
1542715200000,5052.65918,,silver
1542729600000,5018.52295,,silver
1542744000000,4969.49121,,silver
1542758400000,4964.7915,,silver
1542772800000,4893.01807,,silver
1542787200000,4861.22021,,silver
1542801600000,4831.93359,,silver
1542816000000,4825.64404,,silver
1542830400000,4822.90137,,silver
1542844800000,4822.08984,,silver
1542859200000,4821.62256,,silver
1542873600000,4804.24512,,silver
1542888000000,4792.85303,5308.61865,red
1542902400000,4786.99609,5306.48389,red
1542916800000,4767.02588,5300.08203,red
1542931200000,4738.58008,5291.76221,red
1542945600000,4709.50439,5283.20215,red
1542960000000,4695.23047,5278.37207,red
1542974400000,4685.4502,5275.19727,red
1542988800000,4673.76904,5271.68018,red
1543003200000,4667.65039,5269.74658,red
1543017600000,4662.64404,5268.09619,red
1543032000000,4658.021,5266.74072,red
1543046400000,4653.15771,5265.37012,red
1543060800000,4646.21826,5263.58008,red
1543075200000,4635.7207,5261.18213,red
1543089600000,4545.97461,5243.98682,red
1543104000000,4477.79248,5230.72559,red
1543118400000,4407.23096,5215.74902,red
1543132800000,4299.90869,5187.67334,red
1543147200000,4259.15869,5174.36816,red
1543161600000,4221.65186,5161.1958,red
1543176000000,4200.4458,5149.68799,red
1543190400000,4192.7207,5144.90039,red
1543204800000,4187.40088,5141.49072,red
1543219200000,4168.10742,5131.24121,red
1543233600000,4131.78857,5116.59766,red
1543248000000,4074.26343,5091.73389,red
1543262400000,4039.3457,5075.28467,red
1543276800000,4023.35718,5066.95508,red
1543291200000,4008.61206,5058.40967,red
1543305600000,3974.74292,5040.78369,red
1543320000000,3953.4397,5027.80957,red
1543334400000,3939.98291,5018.41455,red
1543348800000,3930.87939,5010.29688,red
1543363200000,3925.29346,5002.39111,red
1543377600000,3927.44092,4996.21729,red
1543392000000,3930.42871,4991.2583,red
1543406400000,3943.79468,4984.20557,red
1543420800000,3965.63257,4977.22217,red
1543435200000,3982.15674,4971.78809,red
1543449600000,3990.67603,4967.02588,red
1543464000000,3997.43237,4962.97217,red
1543478400000,4011.80591,4959.19189,red
1543492800000,4021.7124,4955.9873,red
1543507200000,4029.62988,4952.42969,red
1543521600000,4035.67383,4949.20654,red
1543536000000,4047.50464,4944.69092,red
1543550400000,4057.46851,4939.26514,red
1543564800000,4054.72998,4932.44629,red
1543579200000,4050.51099,4925.76855,red
1543593600000,4046.17578,4919.93994,red
1543608000000,4040.43506,4913.84863,red
1543622400000,4038.18481,4911.91748,red
1543636800000,4030.55835,4904.12305,red
1543651200000,4032.70557,4900.05615,red
1543665600000,4047.23022,4890.7583,red
1543680000000,4061.94043,4884.51416,red
1543694400000,4069.6062,4878.43945,red
1543708800000,4078.02539,4871.84424,red
1543723200000,4080.55322,4860.8125,red
1543737600000,4082.02612,4850.54297,red
1543752000000,4083.42944,4843.02881,red
1543766400000,4084.57471,4837.70898,red
1543780800000,4086.53613,4832.29736,red
1543795200000,4078.60449,4823.64502,red
1543809600000,4068.26733,4814.32812,red
1543824000000,4059.05225,4805.05029,red
1543838400000,4032.33618,4786.13232,red
1543852800000,4006.59351,4770.15039,red
1543867200000,3991.59717,4757.91455,red
1543881600000,3976.78711,4745.61279,red
1543896000000,3965.01392,4725.67676,red
1543910400000,3964.30835,4713.82422,red
1543924800000,3964.45728,4709.67383,red
1543939200000,3962.67065,4703.89941,red
1543953600000,3962.59082,4703.72461,red
1543968000000,3955.76367,4695.32861,red
1543982400000,3935.0835,4675.0415,red
1543996800000,3927.89551,4664.43164,red
1544011200000,3920.20972,4653.58984,red
1544025600000,3897.06372,4634.5874,red
1544040000000,3882.8064,4622.56445,red
1544054400000,3864.93115,4605.44336,red
1544068800000,3848.66113,4579.64062,red
1544083200000,3843.49121,4565.43506,red
1544097600000,3776.85669,4480.21973,red
1544112000000,3741.14014,4429.26562,red
1544126400000,3712.71533,4397.64209,red
1544140800000,3643.54712,4331.3877,red
1544155200000,3625.0835,4310.48145,red
1544169600000,3616.22656,4300.08496,red
1544184000000,3610.81445,4294.42383,red
1544198400000,3581.34302,4255.021,red
1544212800000,3576.6748,4248.82275,red
1544227200000,3573.896,4244.53223,red
1544241600000,3568.05591,4234.72607,red
1544256000000,3565.94775,4231.89551,red
1544270400000,3554.53564,4219.29443,red
1544284800000,3535.89893,4196.63086,red
1544299200000,3516.75708,4170.74121,red
1544313600000,3504.51562,4157.43164,red
1544328000000,3500.50391,4149.06445,red
1544342400000,3495.97144,4139.16357,red
1544356800000,3498.95532,4108.35645,red
1544371200000,3510.56665,4083.79932,red
1544385600000,3513.0542,4069.19995,red
1544400000000,3514.69409,4061.37183,red
1544414400000,3513.17725,4048.10205,red
1544428800000,3511.85327,4041.22241,red
1544443200000,3507.10913,4030.69238,red
1544457600000,3495.8689,4006.3894,red
1544472000000,3487.35107,3990.78589,red
1544486400000,3481.55225,3980.67432,red
1544500800000,3480.58203,3978.7915,red
1544515200000,3478.39014,3975.80518,red
1544529600000,3477.08667,3974.42383,red
1544544000000,3475.62183,3972.93286,red
1544558400000,3474.80957,3972.0144,red
1544572800000,3466.85742,3963.7644,red
1544587200000,3464.72388,3960.8562,red
1544601600000,3462.9812,3956.80469,red
1544616000000,3460.27051,3944.50879,red
1544630400000,3459.9043,3941.09766,red
1544644800000,3458.74829,3935.76196,red
1544659200000,3453.53418,3926.47974,red
1544673600000,3449.25635,3920.95068,red
1544688000000,3445.10864,3915.00586,red
1544702400000,3441.06812,3907.6084,red
1544716800000,3430.9834,3896.18506,red
1544731200000,3399.62036,3868.93579,red
1544745600000,3379.44043,3850.1875,red
1544760000000,3374.33423,3844.3396,red
1544774400000,3373.1626,3843.05859,red
1544788800000,3371.24878,3841.21826,red
1544803200000,3352.34839,3826.4563,red
1544817600000,3328.99194,3805.45483,red
1544832000000,3321.91675,3797.27563,red
1544846400000,3314.24609,3788.49609,red
1544860800000,3299.1709,3774.38916,red
1544875200000,3295.56592,3771.23462,red
1544889600000,3286.31567,3762.14941,red
1544904000000,3281.79224,3756.42212,red
1544918400000,3278.42139,3750.38354,red
1544932800000,3276.16016,3745.68481,red
1544947200000,3273.51074,3739.83057,red
1544961600000,3270.42505,3733.88013,red
1544976000000,3267.80029,3728.56885,red
1544990400000,3264.05542,3722.94409,red
1545004800000,3257.72998,3712.89893,red
1545019200000,3255.54126,3705.50854,red
1545033600000,3254.38379,3700.00488,red
1545048000000,3268.92578,3689.81519,red
1545062400000,3308.80542,3681.88989,red
1545076800000,3322.48608,3679.37378,red
1545091200000,3327.80225,3678.3938,red
1545105600000,3337.59106,3676.21021,red
1545120000000,3345.80469,3673.45703,red
1545134400000,3357.74927,3670.96582,red
1545148800000,3364.56616,3669.3667,red
1545163200000,3401.68579,3667.46021,red
1545177600000,3434.11768,3668.67163,red
1545192000000,3452.68726,3669.41699,red
1545206400000,3491.50171,3672.63159,red
1545220800000,3538.55444,3677.82544,red
1545235200000,3555.24414,3679.58228,red
1545249600000,3565.68628,3679.96289,red
1545264000000,3569.64819,3680.16968,red
1545278400000,3577.7876,3680.65771,red
1545292800000,3720.49365,3714.03418,green
1545307200000,3751.72827,3724.3728,green
1545321600000,3800.02417,3742.27539,green
1545336000000,3813.60938,3748.08008,green
1545350400000,3823.24341,3752.05859,green
1545364800000,3827.34985,3753.94873,green
1545379200000,3837.01831,3758.08154,green
1545393600000,3856.81079,3767.354,green
1545408000000,3859.38257,3770.72119,green
1545422400000,3858.86499,3770.95361,green
1545436800000,3858.77197,3771.00854,green
1545451200000,3858.21191,3771.24341,green
1545465600000,3858.56323,3771.7876,green
1545480000000,3855.50684,3773.82837,green
1545494400000,3856.09448,3776.13379,green
1545508800000,3863.91528,3780.30713,green
1545523200000,3875.68579,3785.62524,green
1545537600000,3877.70142,3786.61035,green
1545552000000,3879.7041,3787.47168,green
1545566400000,3880.84131,3788.09302,green
1545580800000,3882.08911,3788.75073,green
1545595200000,3883.0896,3789.32471,green
1545609600000,3895.49414,3793.14282,green
1545624000000,3905.95361,3796.11108,green
1545638400000,3918.20044,3799.79102,green
1545652800000,3929.39746,3803.47266,green
1545667200000,3937.29858,3807.13721,green
1545681600000,3939.98071,3808.36182,green
1545696000000,3918.94214,3809.22144,green
1545710400000,3915.41846,3809.0376,green
