ts_ms,peak_fractal_3,trough_fractal_3,peak_fractal_5,trough_fractal_5,peak_fractal_7,trough_fractal_7,peak_fractal_9,trough_fractal_9,peak_fractal_11,trough_fractal_11
1542211200000,,,,,,,,,,
1542225600000,,5241,,,,,,,,
1542240000000,5638,,,,,,,,,
1542254400000,,,,,,,,,,
1542268800000,5621,,,,,,,,,
1542283200000,,5186.5,,5186.5,,5186.5,,5186.5,,5186.5
1542297600000,,,,,,,,,,
1542312000000,,,,,,,,,,
1542326400000,5610,,5610,,5610,,,,,
1542340800000,,,,,,,,,,
1542355200000,5569.5,5458.5,,5458.5,,,,,,
1542369600000,,,,,,,,,,
1542384000000,,,,,,,,,,
1542398400000,,5406.5,,5406.5,,5406.5,,5406.5,,5406.5
1542412800000,,,,,,,,,,
1542427200000,,5451,,,,,,,,
1542441600000,5507.5,,,,,,,,,
1542456000000,,,,,,,,,,
1542470400000,5554.5,,,,,,,,,
1542484800000,,,,,,,,,,
1542499200000,5555.5,,5555.5,,5555.5,,,,,
1542513600000,,,,,,,,,,
1542528000000,,5505,,,,,,,,
1542542400000,,,,,,,,,,
1542556800000,5669,,5669,,5669,,5669,,5669,
1542571200000,,,,,,,,,,
1542585600000,,,,,,,,,,
1542600000000,5579,,5579,,,,,,,
1542614400000,,,,,,,,,,
1542628800000,,,,,,,,,,
1542643200000,,,,,,,,,,
1542657600000,,4671.5,,,,,,,,
1542672000000,,,,,,,,,,
1542686400000,,,,,,,,,,
1542700800000,,4198.5,,4198.5,,,,,,
1542715200000,4850,,4850,,,,,,,
1542729600000,,,,,,,,,,
1542744000000,,4028.5,,4028.5,,4028.5,,4028.5,,4028.5
1542758400000,,,,,,,,,,
1542772800000,,,,,,,,,,
1542787200000,4672,,4672,,4672,,,,,
1542801600000,,,,,,,,,,
1542816000000,,,,,,,,,,
1542830400000,,4328,,4328,,4328,,,,
1542844800000,4587.5,,4587.5,,4587.5,,,,,
1542859200000,,,,,,,,,,
1542873600000,,,,,,,,,,
1542888000000,,4365,,,,,,,,
1542902400000,,,,,,,,,,
1542916800000,4482.5,,4482.5,,,,,,,
1542931200000,,,,,,,,,,
1542945600000,,4073,,4073,,4073,,4073,,4073
1542960000000,4371,,4371,,,,,,,
1542974400000,,,,,,,,,,
1542988800000,,4169.5,,4169.5,,,,,,
1543003200000,,,,,,,,,,
1543017600000,4373.5,,4373.5,,4373.5,,4373.5,,4373.5,
1543032000000,,4238,,,,,,,,
1543046400000,,,,,,,,,,
1543060800000,,,,,,,,,,
1543075200000,,,,,,,,,,
1543089600000,,,,,,,,,,
1543104000000,,,,,,,,,,
1543118400000,,,,,,,,,,
1543132800000,3931.5,3441,3931.5,3441,,3441,,3441,,3441
1543147200000,,,,,,,,,,
1543161600000,,3635,,,,,,,,
1543176000000,4115.5,,4115.5,,4115.5,,4115.5,,4115.5,
1543190400000,,,,,,,,,,
1543204800000,4077,,,,,,,,,
1543219200000,,,,,,,,,,
1543233600000,,,,,,,,,,
1543248000000,,3502,,3502,,3502,,3502,,3502
1543262400000,,,,,,,,,,
1543276800000,,,,,,,,,,
1543291200000,3797.5,,3797.5,,,,,,,
1543305600000,,3565,,3565,,,,,,
1543320000000,,,,,,,,,,
1543334400000,,,,,,,,,,
1543348800000,,,,,,,,,,
1543363200000,,,,,,,,,,
1543377600000,4069,,,,,,,,,
1543392000000,,,,,,,,,,
1543406400000,,,,,,,,,,
1543420800000,,,,,,,,,,
1543435200000,4354,,4354,,,,,,,
1543449600000,,,,,,,,,,
1543464000000,,4089,,4089,,4089,,,,
1543478400000,4393,,4393,,4393,,4393,,4393,
1543492800000,,,,,,,,,,
1543507200000,,,,,,,,,,
1543521600000,,4101,,4101,,,,,,
1543536000000,,,,,,,,,,
1543550400000,4297,,4297,,,,,,,
1543564800000,,,,,,,,,,
1543579200000,,3819.5,,3819.5,,3819.5,,3819.5,,3819.5
1543593600000,,,,,,,,,,
1543608000000,,,,,,,,,,
1543622400000,,3820,,3820,,,,,,
1543636800000,,,,,,,,,,
1543651200000,,,,,,,,,,
1543665600000,,,,,,,,,,
1543680000000,4261.5,,,,,,,,,
1543694400000,,,,,,,,,,
1543708800000,4266.5,,4266.5,,4266.5,,4266.5,,4266.5,
1543723200000,,,,,,,,,,
1543737600000,4185.5,4027,,4027,,4027,,,,
1543752000000,,,,,,,,,,
1543766400000,,,,,,,,,,
1543780800000,4183,,4183,,,,,,,
1543795200000,,3898,,3898,,,,,,
1543809600000,,,,,,,,,,
1543824000000,,,,,,,,,,
1543838400000,4016.5,,4016.5,,,,,,,
1543852800000,,3731.5,,3731.5,,3731.5,,3731.5,,3731.5
1543867200000,3879.5,,,,,,,,,
1543881600000,,,,,,,,,,
1543896000000,,3734,,3734,,,,,,
1543910400000,,,,,,,,,,
1543924800000,4000,,4000,,4000,,4000,,4000,
1543939200000,,3900.5,,,,,,,,
1543953600000,,,,,,,,,,
1543968000000,3916.5,,,,,,,,,
1543982400000,,3779,,3779,,,,,,
1543996800000,3878.5,,,,,,,,,
1544011200000,,,,,,,,,,
1544025600000,,3655,,3655,,,,,,
1544040000000,,,,,,,,,,
1544054400000,,,,,,,,,,
1544068800000,,3628,,,,,,,,
1544083200000,3841,,3841,,3841,,3841,,,
1544097600000,,,,,,,,,,
1544112000000,,,,,,,,,,
1544126400000,,,,,,,,,,
1544140800000,,3283.5,,3283.5,,3283.5,,,,
1544155200000,,,,,,,,,,
1544169600000,,,,,,,,,,
1544184000000,,,,,,,,,,
1544198400000,3534,3207.5,3534,3207.5,3534,3207.5,3534,3207.5,,3207.5
