ts_ms,sma_15
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,5523.7666
1542427200000,5524.5
1542441600000,5516.9668
1542456000000,5510.4668
1542470400000,5505.0332
1542484800000,5511.0332
1542499200000,5516.9668
1542513600000,5516.7002
1542528000000,5512.5
1542542400000,5509.8667
1542556800000,5513.9668
1542571200000,5514.5332
1542585600000,5513.2334
1542600000000,5505.1665
1542614400000,5487.9668
1542628800000,5465.1665
1542643200000,5428.7334
1542657600000,5378.6001
1542672000000,5333.6665
1542686400000,5272.1001
1542700800000,5193.7334
1542715200000,5138.56689
1542729600000,5069.2998
1542744000000,4992.2334
1542758400000,4919.56689
1542772800000,4847
1542787200000,4776.43311
1542801600000,4709.8335
1542816000000,4644.6333
1542830400000,4596.8999
1542844800000,4556.93311
1542859200000,4527.43311
1542873600000,4508.3667
1542888000000,4484.6333
1542902400000,4473.3335
1542916800000,4469.1001
1542931200000,4435.8335
1542945600000,4418.06689
1542960000000,4413.4668
1542974400000,4402.2002
1542988800000,4385.7002
1543003200000,4371.8667
1543017600000,4357.93311
1543032000000,4348.4668
1543046400000,4330.2002
1543060800000,4310.6665
1543075200000,4285.06689
1543089600000,4240.3999
1543104000000,4186.43311
1543118400000,4140.2998
1543132800000,4108.0332
1543147200000,4075.56665
1543161600000,4046.96655
1543176000000,4023.2334
1543190400000,4003.93335
1543204800000,3986.2666
1543219200000,3961.93335
1543233600000,3920
1543248000000,3887.19995
1543262400000,3851.33325
1543276800000,3814.7334
1543291200000,3788.2334
1543305600000,3779.43335
1543320000000,3781.1001
1543334400000,3781.66675
1543348800000,3781.19995
1543363200000,3788.46655
1543377600000,3803.66675
1543392000000,3808.53345
1543406400000,3822.1001
1543420800000,3841.93335
1543435200000,3861.5
1543449600000,3892.1333
1543464000000,3917.8667
1543478400000,3959.19995
1543492800000,3996.2666
1543507200000,4026.1001
1543521600000,4064.8667
1543536000000,4104.3999
1543550400000,4133.8667
1543564800000,4144.8335
1543579200000,4153.1333
1543593600000,4148.93311
1543608000000,4146.7666
1543622400000,4132.1333
1543636800000,4110.7998
1543651200000,4105.3999
1543665600000,4107.8335
1543680000000,4112.7998
1543694400000,4099
1543708800000,4092.2666
1543723200000,4087.33325
1543737600000,4076.69995
1543752000000,4066.7334
1543766400000,4064.03345
1543780800000,4075.43335
1543795200000,4074.43335
1543809600000,4074.6001
1543824000000,4073.96655
1543838400000,4064.03345
1543852800000,4055.5
1543867200000,4035.1001
1543881600000,4011.1333
1543896000000,3993.7666
1543910400000,3981.6001
1543924800000,3970.30005
1543939200000,3957.06665
1543953600000,3946.03345
1543968000000,3927.8667
1543982400000,3906.3667
1543996800000,3890.53345
1544011200000,3882.03345
1544025600000,3864.33325
1544040000000,3846.2334
1544054400000,3839.30005
1544068800000,3839.3999
1544083200000,3835.53345
1544097600000,3823.19995
1544112000000,3800.46655
1544126400000,3765.43335
1544140800000,3722.33325
1544155200000,3686.2666
1544169600000,3651.19995
1544184000000,3615.8999
1544198400000,3593.7666
1544212800000,3560.6001
1544227200000,3535.1001
1544241600000,3517.1333
1544256000000,3498.2334
1544270400000,3474.19995
1544284800000,3443.43335
1544299200000,3418.3667
1544313600000,3403.5
1544328000000,3388.46655
1544342400000,3387.8999
1544356800000,3403.30005
1544371200000,3416.03345
1544385600000,3425.8667
1544400000000,3441.1001
1544414400000,3442.46655
1544428800000,3450.3667
1544443200000,3448.2666
1544457600000,3444.7666
1544472000000,3444.43335
1544486400000,3446.66675
1544500800000,3449.1333
1544515200000,3445.6333
1544529600000,3439.83325
1544544000000,3434.8999
1544558400000,3429.83325
1544572800000,3415.80005
1544587200000,3403.7334
1544601600000,3397.30005
1544616000000,3391.56665
1544630400000,3388.1001
1544644800000,3384.16675
1544659200000,3382.53345
1544673600000,3382.6001
1544688000000,3379.5
1544702400000,3380.16675
1544716800000,3374.8999
1544731200000,3369.03345
1544745600000,3364.30005
1544760000000,3359.6001
1544774400000,3353.2666
1544788800000,3345.7666
1544803200000,3332.5
1544817600000,3316.80005
1544832000000,3301.56665
1544846400000,3286.1333
1544860800000,3267.8667
1544875200000,3250.96655
1544889600000,3237.30005
1544904000000,3225.69995
1544918400000,3215.1001
1544932800000,3208.46655
1544947200000,3207.03345
1544961600000,3204.6001
1544976000000,3202.3667
1544990400000,3198.46655
1545004800000,3196.5
1545019200000,3200.46655
1545033600000,3203.16675
1545048000000,3214.83325
1545062400000,3237.2334
1545076800000,3259.80005
1545091200000,3286.69995
1545105600000,3308.83325
1545120000000,3328.33325
1545134400000,3346.6333
