ts_ms,horizontal_range,hr_start,hr_end,hor_upper,hor_lower,uptrend,uptrend_start,uptrend_end,downtrend,downtrend_start,downtrend_end,hr_uptrend,hr_downtrend,hr_start_marker,hr_end_marker,uptrend_start_marker,uptrend_end_marker,downtrend_start_marker,downtrend_end_marker,hr_breakout_attempt,hr_pending_breakout,hr_breakout_confirmed,hr_false_breakout,hr_reclaim,hr_break_direction,hr_break_extreme,hr_reclaim_marker
1542211200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542225600000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542240000000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542254400000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542268800000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542283200000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542297600000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542312000000,false,false,false,,,false,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542326400000,false,false,false,,,false,false,false,true,true,false,false,false,,,,,5610,,false,false,false,false,false,,,
1542340800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542355200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542369600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542384000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542398400000,false,false,false,,,true,true,false,true,false,true,false,false,,,5406.5,,,5406.5,false,false,false,false,false,,,
1542412800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542427200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542441600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542456000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542470400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542484800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542499200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542513600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542528000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542542400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1542556800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
