ts_ms,rsi_14
1542211200000,
1542225600000,
1542240000000,
1542254400000,
1542268800000,
1542283200000,
1542297600000,
1542312000000,
1542326400000,
1542340800000,
1542355200000,
1542369600000,
1542384000000,
1542398400000,
1542412800000,47.7611923
1542427200000,50.9909515
1542441600000,49.6210403
1542456000000,48.7498817
1542470400000,49.9661369
1542484800000,50.8957481
1542499200000,54.8690186
1542513600000,52.980381
1542528000000,51.7546883
1542542400000,53.0762558
1542556800000,56.8012848
1542571200000,55.4295464
1542585600000,50.2603722
1542600000000,38.8301544
1542614400000,30.9049206
1542628800000,25.4908848
1542643200000,20.5718536
1542657600000,16.036581
1542672000000,21.677803
1542686400000,17.3010788
1542700800000,14.1469183
1542715200000,34.8624992
1542729600000,30.2591019
1542744000000,28.0275345
1542758400000,31.3781528
1542772800000,33.0562744
1542787200000,33.8936958
1542801600000,34.6352272
1542816000000,32.0575333
1542830400000,38.048584
1542844800000,37.7003288
1542859200000,37.5080757
1542873600000,35.5269966
1542888000000,35.4506187
1542902400000,33.8966942
1542916800000,30.0051651
1542931200000,28.8637333
1542945600000,29.0641499
1542960000000,33.691452
1542974400000,32.9861908
1542988800000,31.6606922
1543003200000,35.8597374
1543017600000,36.8861084
1543032000000,35.2321396
1543046400000,35.0820312
1543060800000,33.6907845
1543075200000,29.757185
1543089600000,20.4665337
1543104000000,18.0220413
1543118400000,22.7785435
1543132800000,27.5705128
1543147200000,26.4298038
1543161600000,30.4925823
1543176000000,38.9450798
1543190400000,41.4039192
1543204800000,40.8394623
1543219200000,39.211647
1543233600000,31.0904007
1543248000000,36.6151428
1543262400000,35.0775299
1543276800000,33.7664185
1543291200000,36.9890862
1543305600000,34.1248131
1543320000000,35.0638618
1543334400000,38.3150711
1543348800000,41.7601929
1543363200000,45.7722549
1543377600000,54.5123138
1543392000000,53.8374252
1543406400000,60.8959465
1543420800000,63.6031799
1543435200000,61.0276833
1543449600000,56.4591599
1543464000000,57.4452286
1543478400000,64.1641159
1543492800000,58.4293213
1543507200000,55.6864433
1543521600000,57.5565567
1543536000000,58.6061096
1543550400000,53.2787704
1543564800000,43.763279
1543579200000,45.1709518
1543593600000,44.8634872
1543608000000,45.7906876
1543622400000,45.2752991
1543636800000,44.2513046
1543651200000,54.4912491
1543665600000,56.0160675
1543680000000,58.7315063
1543694400000,53.197937
1543708800000,53.1701279
1543723200000,51.5732841
1543737600000,49.3669739
1543752000000,51.5126495
1543766400000,52.0818253
1543780800000,51.4316483
1543795200000,42.1062317
1543809600000,42.8196678
1543824000000,43.2340088
1543838400000,35.6264839
1543852800000,35.6264839
1543867200000,36.9934464
1543881600000,35.9903679
1543896000000,48.4248199
1543910400000,47.258091
1543924800000,48.1433067
1543939200000,44.5071297
1543953600000,44.1890564
1543968000000,39.863163
1543982400000,37.5867729
1543996800000,44.006134
1544011200000,41.195797
1544025600000,34.6382256
1544040000000,34.6150436
1544054400000,36.1788139
1544068800000,44.974102
1544083200000,42.3806725
1544097600000,35.050148
1544112000000,35.4604568
1544126400000,27.7709045
1544140800000,24.6959896
1544155200000,28.543972
1544169600000,29.3375549
1544184000000,26.9521446
1544198400000,38.3966293
1544212800000,35.0104218
1544227200000,39.391552
1544241600000,38.7751274
1544256000000,38.1535797
1544270400000,35.6099091
1544284800000,35.9547844
1544299200000,39.22649
1544313600000,39.7395515
1544328000000,39.9495354
1544342400000,41.1422386
1544356800000,51.2588234
1544371200000,51.8708839
1544385600000,49.385006
1544400000000,49.9250336
1544414400000,46.0685005
1544428800000,46.7631989
1544443200000,40.9728928
1544457600000,38.6937714
1544472000000,41.8849831
1544486400000,40.4091415
1544500800000,41.2388153
1544515200000,37.8676109
1544529600000,35.9994125
1544544000000,37.8279724
1544558400000,39.2155838
1544572800000,38.9307938
1544587200000,43.7682953
1544601600000,49.47752
1544616000000,51.3045158
1544630400000,49.4343643
1544644800000,49.5508614
1544659200000,44.3761292
1544673600000,43.2884903
1544688000000,41.7661095
1544702400000,46.6438637
1544716800000,38.5882187
1544731200000,34.1569061
1544745600000,33.3538361
1544760000000,35.7211418
1544774400000,34.6443787
1544788800000,32.9181824
1544803200000,29.3218765
1544817600000,31.7476463
1544832000000,35.7595978
1544846400000,34.0024948
1544860800000,30.638361
1544875200000,28.6866131
1544889600000,35.0736809
1544904000000,37.683548
1544918400000,44.9102364
1544932800000,42.6213875
1544947200000,45.606781
1544961600000,42.7125893
1544976000000,45.4375267
1544990400000,41.2150459
1545004800000,42.4280319
1545019200000,48.3142738
1545033600000,47.7373772
1545048000000,64.0646744
1545062400000,72.3223648
1545076800000,67.6891174
1545091200000,69.7494049
1545105600000,65.8167572
1545120000000,63.1827888
1545134400000,65.2655563
