ts_ms,volume,volume_mean_20
1542211200000,6566161,
1542225600000,8213107,
1542240000000,2828915,
1542254400000,1937777,
1542268800000,4071006,
1542283200000,4530086,
1542297600000,4097271,
1542312000000,2592866,
1542326400000,1386692,
1542340800000,911910,
1542355200000,2988195,
1542369600000,679229,
1542384000000,2487383,
1542398400000,4615537,
1542412800000,2083216,
1542427200000,241871,
1542441600000,874731,
1542456000000,578762,
1542470400000,2517338,
1542484800000,526906,2736448
1542499200000,3071752,2561727.5
1542513600000,414998,2171822
1542528000000,1725381,2116645.25
1542542400000,843299,2061921.5
1542556800000,3525760,2034659.12
1542571200000,1857466,1901028.12
1542585600000,2365857,1814457.5
1542600000000,3697495,1869688.88
1542614400000,7988625,2199785.5
1542628800000,1695751,2238977.5
1542643200000,3179830,2248559.25
1542657600000,1897132,2309454.5
1542672000000,1619093,2266040
1542686400000,10338733,2552199.75
1542700800000,5221733,2709125.75
1542715200000,3843033,2889183.75
1542729600000,3090484,2999971.5
1542744000000,3076170,3124841.75
1542758400000,339917,3015970.75
1542772800000,5908166,3285033.75
1542787200000,4019053,3332398.75
1542801600000,3545891,3488943.5
1542816000000,680172,3436683
1542830400000,312591,3410147.5
1542844800000,103687,3239044
1542859200000,51278,3148734.5
1542873600000,1590848,3109984
1542888000000,949367,2972577.75
1542902400000,459571,2596125
1542916800000,1237407,2573207.75
1542931200000,1435606,2485996.5
1542945600000,1431231,2462701.5
1542960000000,883753,2425934.5
1542974400000,560179,1937006.88
1542988800000,585587,1705199.5
1543003200000,333240,1529709.88
1543017600000,292604,1389815.88
1543032000000,224803,1247247.5
1543046400000,222695,1241386.5
1543060800000,275574,959756.875
1543075200000,338315,775719.938
1543089600000,1895536,693202.188
1543104000000,1294071,723897.125
1543118400000,1443427,780438.938
1543132800000,2815318,916020.5
1543147200000,1395203,983216.75
1543161600000,1371944,972271.562
1543176000000,1369981,993302.25
1543190400000,579299,999288.625
1543204800000,410530,957944.812
1543219200000,1158065,944067.75
1543233600000,1461812,945596.812
1543248000000,2418316,1022324.94
1543262400000,1574763,1073054.12
1543276800000,804898,1084019.75
1543291200000,838178,1109266.62
1543305600000,1633794,1176326.12
1543320000000,1226278,1226399.88
1543334400000,901826,1260356.38
1543348800000,805342,1286844.75
1543363200000,821754,1311016.75
1543377600000,726605,1252570.25
1543392000000,595596,1217646.5
1543406400000,967288,1193839.5
1543420800000,1086669,1107407
1543435200000,850177,1080155.75
1543449600000,663928,1044754.94
1543464000000,554878,1003999.81
1543478400000,621645,1006117.12
1543492800000,494844,1010332.81
1543507200000,505870,977723.062
1543521600000,440005,926632.688
1543536000000,654486,838441.188
1543550400000,737588,796582.438
1543564800000,740648,793369.938
1543579200000,699617,786441.875
1543593600000,595752,734539.812
1543608000000,600439,703247.875
1543622400000,182870,667300.062
1543636800000,743385,664202.188
1543651200000,448777,645553.375
1543665600000,1136857,666065.938
1543680000000,836622,678117.25
1543694400000,745832,667044.438
1543708800000,816848,653553.375
1543723200000,1240310,673060.062
1543737600000,1154923,697609.812
1543752000000,853350,712533.375
1543766400000,604874,711694.875
1543780800000,623173,718111.312
1543795200000,841032,734869.375
1543809600000,869946,756366.438
1543824000000,869290,767106.625
1543838400000,1629904,811722.438
1543852800000,1292511,839315.625
1543867200000,1037143,856191.875
1543881600000,1030923,877950.438
1543896000000,1848275,940342.25
1543910400000,1210991,991748.312
1543924800000,430534,976105.75
1543939200000,561596,981746.688
1543953600000,16381,925722.875
1543968000000,734075,920595.562
1543982400000,1695324,968070.125
1543996800000,936026,974029.062
1544011200000,946565,959341.812
1544025600000,1489130,976052.125
1544040000000,934655,980117.375
1544054400000,1355251,1017636.25
1544068800000,2224971,1097726.12
1544083200000,1308763,1121112.75
1544097600000,7352122,1445221.5
1544112000000,4697353,1636624.62
1544126400000,2774235,1693841.25
1544140800000,5494956,1903963.5
1544155200000,1875182,1945865.38
1544169600000,951760,1941907.25
1544184000000,498072,1874397.12
1544198400000,3808186,2004256.88
1544212800000,605881,2013024.25
1544227200000,435349,2006711.88
1544241600000,1012298,2056507.75
1544256000000,277793,2033693.62
1544270400000,1170541,2007454.5
1544284800000,2170632,2069184.75
1544299200000,2573672,2150540
1544313600000,1253244,2138745.75
1544328000000,908930,2137459.5
1544342400000,1084487,2123921.25
1544356800000,4082330,2216789.25
1544371200000,3916127,2347157.5
1544385600000,2293981,2094250.5
1544400000000,1272660,1923015.75
1544414400000,2003171,1884462.62
1544428800000,1028693,1661149.5
1544443200000,1464311,1640605.88
1544457600000,3447489,1765392.38
1544472000000,2213797,1851178.62
1544486400000,1439486,1732743.62
1544500800000,273400,1716119.5
1544515200000,401590,1714431.62
1544529600000,172881,1672460.75
1544544000000,183786,1667760.38
1544558400000,116065,1615036.62
1544572800000,1014480,1557229
1544587200000,378191,1447455
1544601600000,562579,1412921.75
1544616000000,1800135,1457482
1544630400000,515373,1429026.25
1544644800000,784703,1264144.88
1544659200000,1268576,1131767.38
1544673600000,718765,1053006.5
1544688000000,782958,1028521.44
1544702400000,1005652,978645.5
1544716800000,1437061,999063.875
1544731200000,3167532,1084225
1544745600000,2197795,1021740.25
