ts_ms,open,high,low,close,volume
1620892800000,1.3019,1.3083,1.246,1.2638,118708.0
1620900000000,1.2638,1.3002,1.2248,1.2902,1082076.0
1620907200000,1.2902,1.3518,1.2788,1.3442,1453727.0
1620914400000,1.3442,1.3717,1.2933,1.3043,2012131.0
1620921600000,1.3043,1.339,1.2324,1.2773,1992056.0
1620928800000,1.2773,1.2891,1.2431,1.2577,911920.0
1620936000000,1.2577,1.3168,1.2512,1.3086,961080.0
1620943200000,1.3086,1.3644,1.2908,1.3644,1056360.0
1620950400000,1.3644,1.3749,1.3469,1.3506,798530.0
1620957600000,1.3506,1.3565,1.3287,1.333,735562.0
1620964800000,1.333,1.3596,1.3243,1.359,730891.0
1620972000000,1.359,1.3958,1.3269,1.3788,1123696.0
1620979200000,1.3788,1.4091,1.3788,1.3907,1693186.0
1620986400000,1.3907,1.4274,1.3795,1.4054,1763274.0
1620993600000,1.4054,1.4097,1.3831,1.4081,1339537.0
1621000800000,1.4081,1.4321,1.392,1.4125,1733115.0
1621008000000,1.4125,1.4489,1.3983,1.4066,2469058.0
1621015200000,1.4066,1.4105,1.3757,1.3783,936290.0
1621022400000,1.3783,1.3914,1.3437,1.3771,1432927.0
1621029600000,1.3771,1.4187,1.3707,1.4013,1391947.0
1621036800000,1.4013,1.418,1.3789,1.4106,1499115.0
1621044000000,1.4106,1.4287,1.3941,1.3965,1221493.0
1621051200000,1.3965,1.4149,1.382,1.4015,1662499.0
1621058400000,1.4015,1.4015,1.343,1.3484,2000479.0
1621065600000,1.3484,1.368,1.3414,1.3544,1601904.0
1621072800000,1.3544,1.3599,1.3234,1.3592,2136721.0
1621080000000,1.3592,1.369,1.349,1.3578,1380163.0
1621087200000,1.3578,1.5837,1.3547,1.5189,14073236.0
1621094400000,1.5189,1.523,1.422,1.4437,10206478.0
1621101600000,1.4437,1.4933,1.4069,1.4824,4734211.0
1621108800000,1.4824,1.5647,1.4812,1.5443,4224530.0
1621116000000,1.5443,1.5697,1.4551,1.4924,6216010.0
1621123200000,1.4924,1.5816,1.4855,1.5436,5894622.0
1621130400000,1.5436,1.6035,1.5345,1.6003,4109804.0
1621137600000,1.6003,1.603,1.5477,1.5691,5035405.0
1621144800000,1.5691,1.5899,1.5572,1.5891,3632836.0
1621152000000,1.5891,1.613,1.5561,1.5916,4396598.0
1621159200000,1.5916,1.5955,1.535,1.5447,4920685.0
1621166400000,1.5447,1.5582,1.5169,1.541,6985612.0
1621173600000,1.541,1.5467,1.4711,1.4825,7581966.0
1621180800000,1.4825,1.5027,1.4246,1.4688,9119452.0
1621188000000,1.4688,1.483,1.3381,1.3871,6980815.0
1621195200000,1.3871,1.4245,1.3575,1.4159,5302283.0
1621202400000,1.4159,1.4595,1.4121,1.4479,2510005.0
1621209600000,1.4479,1.4489,1.3775,1.3931,4858921.0
1621216800000,1.3931,1.4164,1.3384,1.3502,4257140.0
1621224000000,1.3502,1.4068,1.3257,1.3965,4443613.0
1621231200000,1.3965,1.4599,1.3946,1.4511,4189372.0
1621238400000,1.4511,1.5424,1.4328,1.5333,6093766.0
1621245600000,1.5333,1.55,1.4812,1.5424,8636566.0
1621252800000,1.5424,1.5633,1.4881,1.5156,8695281.0
1621260000000,1.5156,1.5229,1.4517,1.472,9359634.0
1621267200000,1.472,1.5488,1.4452,1.481,11588622.0
1621274400000,1.481,1.5436,1.4599,1.5309,6275010.0
1621281600000,1.5309,1.5474,1.4853,1.4954,3200002.0
1621288800000,1.4954,1.5223,1.4575,1.4967,3932332.0
1621296000000,1.4967,1.5307,1.475,1.5214,4546042.0
1621303200000,1.5214,1.5351,1.4925,1.5261,4005280.0
1621310400000,1.5261,1.5489,1.52,1.5247,3492121.0
1621317600000,1.5247,1.546,1.5056,1.5161,3532394.0
1621324800000,1.5161,1.5896,1.5074,1.577,6735282.0
1621332000000,1.577,1.7039,1.5758,1.67,17530572.0
1621339200000,1.67,1.685,1.5631,1.5866,19650568.0
1621346400000,1.5866,1.5893,1.5225,1.5499,13326641.0
1621353600000,1.5499,1.6259,1.5332,1.5955,10519908.0
1621360800000,1.5955,1.5956,1.54,1.5801,6627830.0
1621368000000,1.5801,1.6222,1.5608,1.5933,5053974.0
1621375200000,1.5933,1.6187,1.5582,1.5911,6410522.0
1621382400000,1.5911,1.6467,1.4746,1.5082,12023080.0
1621389600000,1.5082,1.5371,1.4593,1.4873,7910678.0
1621396800000,1.4873,1.506,1.3594,1.4359,16477077.0
1621404000000,1.4359,1.4822,1.3854,1.4786,9089237.0
1621411200000,1.4786,1.4808,1.4347,1.4496,5435689.0
1621418400000,1.4496,1.4543,1.0879,1.2781,28922457.0
1621425600000,1.2781,1.319,0.8482,1.1052,54459095.0
1621432800000,1.1052,1.2304,1.0013,1.2049,38109092.0
1621440000000,1.2049,1.285,1.1364,1.2492,19124562.0
1621447200000,1.2492,1.2629,1.1413,1.1663,12163677.0
1621454400000,1.1663,1.1814,1.0657,1.138,10348309.0
1621461600000,1.138,1.179,1.058,1.0606,9971107.0
1621468800000,1.0606,1.1085,0.9034,1.0161,24172342.0
1621476000000,1.0161,1.1145,1.0129,1.106,10895464.0
1621483200000,1.106,1.1718,1.1027,1.1599,8553651.0
1621490400000,1.1599,1.2287,1.1232,1.1861,9942676.0
1621497600000,1.1861,1.1997,1.1227,1.1683,8820712.0
1621504800000,1.1683,1.1936,1.1544,1.1798,7785523.0
1621512000000,1.1798,1.2652,1.1591,1.226,12219774.0
1621519200000,1.226,1.25,1.2028,1.2158,8181018.0
1621526400000,1.2158,1.2207,1.1096,1.1691,10567684.0
1621533600000,1.1691,1.1942,1.1477,1.1822,3742480.0
1621540800000,1.1822,1.2113,1.1592,1.205,3661555.0
1621548000000,1.205,1.2085,1.1559,1.1796,5462725.0
1621555200000,1.1796,1.22,1.1796,1.1907,4123776.0
1621562400000,1.1907,1.1907,1.1487,1.1515,4936247.0
1621569600000,1.1515,1.159,1.1162,1.1209,7294160.0
1621576800000,1.1209,1.1456,1.0931,1.121,6863046.0
