ts_ms,research_fast_research_mid_research_slow,research_fast_research_mid_research_slow_width,research_fast_research_mid_research_slow_compression
1620892800000,,,
1620907200000,,,
1620921600000,,,
1620936000000,,,
1620950400000,,,
1620964800000,,,
1620979200000,,,
1620993600000,,,
1621008000000,,,
1621022400000,,,
1621036800000,,,
1621051200000,,,
1621065600000,,,
1621080000000,,,
1621094400000,,,
1621108800000,,,
1621123200000,,,
1621137600000,,,
1621152000000,,,
1621166400000,,,
1621180800000,,,
1621195200000,,,
1621209600000,,,
1621224000000,,,
1621238400000,,,
1621252800000,,,
1621267200000,,,
1621281600000,,,
1621296000000,,,
1621310400000,,,
1621324800000,,,
1621339200000,,,
1621353600000,,,
1621368000000,,,
1621382400000,,,
1621396800000,,,
1621411200000,,,
1621425600000,,,
1621440000000,,,
1621454400000,,,
1621468800000,,,
1621483200000,,,
1621497600000,,,
1621512000000,,,
1621526400000,,,
1621540800000,,,
1621555200000,,,
1621569600000,,,
1621584000000,,,
1621598400000,,,
1621612800000,,,
1621627200000,,,
1621641600000,,,
1621656000000,,,
1621670400000,,,
1621684800000,,,
1621699200000,,,
1621713600000,,,
1621728000000,,,
1621742400000,,,
1621756800000,,,
1621771200000,,,
1621785600000,,,
1621800000000,,,
1621814400000,,,
1621828800000,,,
1621843200000,,,
1621857600000,,,
1621872000000,,,
1621886400000,,0,
1621900800000,,0,
1621915200000,,0,
1621929600000,,0,
1621944000000,,0,
1621958400000,,0,
1621972800000,,0,
1621987200000,,0,
1622001600000,,0,
1622016000000,,0,
1622030400000,,0,
1622044800000,,0,
1622059200000,,0,
1622073600000,,0,
1622088000000,,0,
1622102400000,,0,
1622116800000,,0,
1622131200000,,0,
1622145600000,,0,
1622160000000,,0,
1622174400000,,0.0690436363,0.0690436363
1622188800000,,0.071814537,0.071814537
1622203200000,,0.0751165152,0.0751165152
1622217600000,,0.0775607824,0.0775607824
1622232000000,,0.0802774429,0.0802774429
1622246400000,,0.0845460892,0.0845460892
1622260800000,,0.0874060392,0.0874060392
1622275200000,,0.0908864737,0.0908864737
1622289600000,,0.0939401388,0.0939401388
1622304000000,,0.0978446007,0.0978446007
1622318400000,1,0.124340534,0.0230396986
1622332800000,1,0.131709337,0.0247246027
1622347200000,1,0.137036026,0.0256860256
1622361600000,1,0.143145561,0.0272036791
1622376000000,1,0.14845413,0.0294569731
1622390400000,1,0.152523577,0.0316005945
1622404800000,1,0.155976892,0.0333884954
1622419200000,1,0.156337142,0.036118865
1622433600000,1,0.155160666,0.0385448933
1622448000000,1,0.153725624,0.0408070087
1622462400000,1,0.150515735,0.0421389341
