ts_ms,research_source_1_ang_pct_span_10
1620892800000,
1620907200000,
1620921600000,
1620936000000,
1620950400000,
1620964800000,
1620979200000,
1620993600000,
1621008000000,
1621022400000,
1621036800000,
1621051200000,
1621065600000,
1621080000000,
1621094400000,
1621108800000,
1621123200000,
1621137600000,
1621152000000,
1621166400000,
1621180800000,
1621195200000,
1621209600000,
1621224000000,
1621238400000,
1621252800000,
1621267200000,
1621281600000,
1621296000000,
1621310400000,
1621324800000,
1621339200000,
1621353600000,
1621368000000,
1621382400000,
1621396800000,
1621411200000,
1621425600000,
1621440000000,
1621454400000,
1621468800000,
1621483200000,
1621497600000,
1621512000000,
1621526400000,
1621540800000,
1621555200000,
1621569600000,
1621584000000,
1621598400000,
1621612800000,
1621627200000,
1621641600000,
1621656000000,
1621670400000,
1621684800000,
1621699200000,
1621713600000,
1621728000000,
1621742400000,
1621756800000,
1621771200000,
1621785600000,
1621800000000,
1621814400000,
1621828800000,
1621843200000,
1621857600000,
1621872000000,
1621886400000,
1621900800000,
1621915200000,
1621929600000,
1621944000000,
1621958400000,
1621972800000,
1621987200000,
1622001600000,
1622016000000,
1622030400000,
1622044800000,
1622059200000,
1622073600000,
1622088000000,
1622102400000,
1622116800000,
1622131200000,
1622145600000,
1622160000000,
1622174400000,
1622188800000,
1622203200000,
1622217600000,
1622232000000,
1622246400000,
1622260800000,
1622275200000,
1622289600000,
1622304000000,
1622318400000,
1622332800000,
1622347200000,
1622361600000,
1622376000000,
1622390400000,
1622404800000,
1622419200000,
1622433600000,
1622448000000,-20.810667
1622462400000,-20.5606365
1622476800000,-20.5239353
1622491200000,-20.3646584
1622505600000,-19.6453228
1622520000000,-19.8871231
1622534400000,-19.8584557
1622548800000,-19.8236923
1622563200000,-20.8852825
1622577600000,-21.9812927
1622592000000,-22.7943001
1622606400000,-23.1604404
1622620800000,-23.551012
1622635200000,-24.0321121
1622649600000,-23.3773785
1622664000000,-23.3337231
1622678400000,-23.5819111
1622692800000,-22.8223495
1622707200000,-22.4765644
1622721600000,-22.2378139
1622736000000,-22.4888649
1622750400000,-23.0606842
1622764800000,-24.4797478
1622779200000,-26.0029125
1622793600000,-27.1346989
1622808000000,-27.7795029
1622822400000,-28.2631397
1622836800000,-28.4766445
1622851200000,-27.753746
1622865600000,-26.4931335
1622880000000,-25.3468304
1622894400000,-22.5768795
1622908800000,-20.3184452
1622923200000,-18.3015785
1622937600000,-16.1588612
1622952000000,-14.7674437
1622966400000,-13.2509651
1622980800000,-12.9209347
1622995200000,-12.9655113
1623009600000,-12.6791878
1623024000000,-13.0245075
1623038400000,-12.3072338
