ts_ms,sma_100
1620892800000,
1620907200000,
1620921600000,
1620936000000,
1620950400000,
1620964800000,
1620979200000,
1620993600000,
1621008000000,
1621022400000,
1621036800000,
1621051200000,
1621065600000,
1621080000000,
1621094400000,
1621108800000,
1621123200000,
1621137600000,
1621152000000,
1621166400000,
1621180800000,
1621195200000,
1621209600000,
1621224000000,
1621238400000,
1621252800000,
1621267200000,
1621281600000,
1621296000000,
1621310400000,
1621324800000,
1621339200000,
1621353600000,
1621368000000,
1621382400000,
1621396800000,
1621411200000,
1621425600000,
1621440000000,
1621454400000,
1621468800000,
1621483200000,
1621497600000,
1621512000000,
1621526400000,
1621540800000,
1621555200000,
1621569600000,
1621584000000,
1621598400000,
1621612800000,
1621627200000,
1621641600000,
1621656000000,
1621670400000,
1621684800000,
1621699200000,
1621713600000,
1621728000000,
1621742400000,
1621756800000,
1621771200000,
1621785600000,
1621800000000,
1621814400000,
1621828800000,
1621843200000,
1621857600000,
1621872000000,
1621886400000,
1621900800000,
1621915200000,
1621929600000,
1621944000000,
1621958400000,
1621972800000,
1621987200000,
1622001600000,
1622016000000,
1622030400000,
1622044800000,
1622059200000,
1622073600000,
1622088000000,
1622102400000,
1622116800000,
1622131200000,
1622145600000,
1622160000000,
1622174400000,
1622188800000,
1622203200000,
1622217600000,
1622232000000,
1622246400000,
1622260800000,
1622275200000,
1622289600000,
1622304000000,
1622318400000,1.14523196
1622332800000,1.14069796
1622347200000,1.13645601
1622361600000,1.13294697
1622376000000,1.12811697
1622390400000,1.12376499
1622404800000,1.11903405
1622419200000,1.11395001
1622433600000,1.10977495
1622448000000,1.10605705
1622462400000,1.10219002
1622476800000,1.09816599
1622491200000,1.09509802
1622505600000,1.09187305
1622520000000,1.08717895
1622534400000,1.08265901
1622548800000,1.07780898
1622563200000,1.07166398
1622577600000,1.06587601
1622592000000,1.06050301
1622606400000,1.05588603
1622620800000,1.05213904
1622635200000,1.04805505
1622649600000,1.04488301
1622664000000,1.040627
1622678400000,1.03546596
1622692800000,1.03107595
1622707200000,1.02618694
1622721600000,1.02147901
1622736000000,1.01654506
1622750400000,1.01182604
1622764800000,1.00510895
1622779200000,0.99901098
1622793600000,0.992628992
1622808000000,0.986374021
1622822400000,0.981186986
1622836800000,0.976090014
1622851200000,0.973102987
1622865600000,0.970943987
1622880000000,0.968689024
1622894400000,0.967496991
1622908800000,0.965718985
1622923200000,0.963081002
1622937600000,0.960651994
1622952000000,0.957908988
1622966400000,0.95540297
1622980800000,0.953010976
1622995200000,0.950824976
1623009600000,0.949074984
1623024000000,0.947354972
1623038400000,0.946757019
1623052800000,0.946455002
